"","x"
"1",2
"2",3
"3",4
"4",4
"5",13
"6",10
"7",3
"8",10
"9",3
"10",4
"11",10
"12",4
"13",4
"14",9
"15",10
"16",13
"17",4
"18",10
"19",10
"20",10
"21",6
"22",10
"23",10
"24",10
"25",7
"26",4
"27",7
"28",6
"29",6
"30",7
"31",7
"32",7
"33",4
"34",7
"35",6
"36",7
"37",4
"38",4
"39",6
"40",10
"41",12
"42",5
"43",7
"44",3
"45",7
"46",5
"47",10
"48",4
"49",3
"50",4
"51",7
"52",3
"53",6
"54",7
"55",4
"56",6
"57",5
"58",4
"59",7
"60",4
"61",4
"62",3
"63",4
"64",4
"65",4
"66",4
"67",10
"68",4
"69",5
"70",4
"71",4
"72",5
"73",3
"74",7
"75",3
"76",5
"77",15
"78",5
"79",3
"80",12
"81",12
"82",4
"83",12
"84",5
"85",4
"86",13
"87",7
"88",12
"89",5
"90",13
"91",4
"92",13
"93",4
"94",6
"95",5
"96",13
"97",3
"98",5
"99",5
"100",12
"101",13
"102",12
"103",5
"104",7
"105",5
"106",13
"107",12
"108",15
"109",3
"110",13
"111",3
"112",12
"113",3
"114",5
"115",3
"116",3
"117",12
"118",4
"119",3
"120",6
"121",15
"122",4
"123",3
"124",3
"125",9
"126",6
"127",3
"128",3
"129",4
"130",3
"131",3
"132",3
"133",3
"134",3
"135",4
"136",3
"137",3
"138",3
"139",3
"140",9
"141",6
"142",9
"143",9
"144",9
"145",9
"146",15
"147",9
"148",9
"149",6
"150",11
"151",8
"152",9
"153",9
"154",6
"155",6
"156",9
"157",2
"158",6
"159",9
"160",9
"161",6
"162",2
"163",9
"164",15
"165",11
"166",9
"167",4
"168",9
"169",9
"170",6
"171",9
"172",15
"173",6
"174",6
"175",2
"176",2
"177",9
"178",2
"179",15
"180",6
"181",6
"182",2
"183",2
"184",2
"185",2
"186",6
"187",6
"188",2
"189",6
"190",6
"191",6
"192",2
"193",9
"194",2
"195",9
"196",15
"197",9
"198",9
"199",2
"200",11
"201",2
"202",6
"203",2
"204",2
"205",11
"206",6
"207",6
"208",2
"209",11
"210",2
"211",2
"212",2
"213",6
"214",2
"215",9
"216",11
"217",2
"218",9
"219",2
"220",6
"221",9
"222",9
"223",9
"224",6
"225",2
"226",6
"227",9
"228",6
"229",9
"230",6
"231",6
"232",6
"233",9
"234",11
"235",6
"236",2
"237",2
"238",9
"239",9
"240",2
"241",9
"242",1
"243",6
"244",9
"245",2
"246",11
"247",9
"248",2
"249",11
"250",6
"251",2
"252",11
"253",2
"254",9
"255",2
"256",9
"257",9
"258",9
"259",9
"260",9
"261",6
"262",9
"263",9
"264",9
"265",9
"266",6
"267",9
"268",6
"269",9
"270",2
"271",2
"272",2
"273",2
"274",2
"275",9
"276",2
"277",9
"278",11
"279",9
"280",13
"281",9
"282",9
"283",15
"284",9
"285",8
"286",8
"287",6
"288",8
"289",6
"290",2
"291",14
"292",2
"293",2
"294",2
"295",9
"296",2
"297",9
"298",13
"299",2
"300",2
"301",2
"302",15
"303",6
"304",2
"305",2
"306",2
"307",9
"308",2
"309",15
"310",11
"311",6
"312",7
"313",8
"314",13
"315",6
"316",6
"317",4
"318",6
"319",8
"320",4
"321",6
"322",8
"323",7
"324",2
"325",8
"326",6
"327",6
"328",6
"329",6
"330",8
"331",8
"332",6
"333",6
"334",8
"335",13
"336",6
"337",6
"338",13
"339",13
"340",8
"341",4
"342",7
"343",6
"344",8
"345",7
"346",8
"347",6
"348",6
"349",11
"350",6
"351",13
"352",9
"353",5
"354",9
"355",11
"356",6
"357",6
"358",6
"359",9
"360",6
"361",6
"362",6
"363",13
"364",6
"365",7
"366",6
"367",6
"368",2
"369",6
"370",6
"371",6
"372",6
"373",6
"374",9
"375",6
"376",2
"377",3
"378",15
"379",6
"380",8
"381",8
"382",8
"383",8
"384",2
"385",6
"386",15
"387",13
"388",9
"389",13
"390",6
"391",15
"392",6
"393",10
"394",6
"395",9
"396",9
"397",6
"398",15
"399",10
"400",9
"401",15
"402",6
"403",6
"404",9
"405",6
"406",15
"407",14
"408",9
"409",3
"410",15
"411",10
"412",6
"413",15
"414",15
"415",6
"416",6
"417",6
"418",6
"419",6
"420",2
"421",6
"422",6
"423",15
"424",6
"425",15
"426",15
"427",15
"428",2
"429",6
"430",15
"431",6
"432",15
"433",14
"434",6
"435",15
"436",14
"437",7
"438",6
"439",6
"440",14
"441",7
"442",15
"443",6
"444",6
"445",6
"446",2
"447",7
"448",14
"449",15
"450",6
"451",15
"452",6
"453",6
"454",6
"455",6
"456",6
"457",14
"458",6
"459",6
"460",15
"461",6
"462",6
"463",6
"464",6
"465",6
"466",15
"467",6
"468",8
"469",6
"470",6
"471",6
"472",2
"473",6
"474",6
"475",15
"476",2
"477",1
"478",15
"479",15
"480",15
"481",1
"482",1
"483",15
"484",6
"485",13
"486",9
"487",15
"488",15
"489",7
"490",14
"491",1
"492",15
"493",9
"494",15
"495",9
"496",11
"497",1
"498",6
"499",6
"500",1
"501",1
"502",15
"503",6
"504",1
"505",1
"506",1
"507",15
"508",7
"509",13
"510",1
"511",15
"512",1
"513",7
"514",1
"515",15
"516",9
"517",1
"518",6
"519",1
"520",1
"521",6
"522",15
"523",1
"524",15
"525",1
"526",9
"527",14
"528",14
"529",11
"530",7
"531",6
"532",7
"533",15
"534",15
"535",15
"536",15
"537",15
"538",15
"539",15
"540",15
"541",6
"542",6
"543",15
"544",15
"545",6
"546",15
"547",6
"548",15
"549",15
"550",9
"551",15
"552",15
"553",11
"554",15
"555",1
"556",14
"557",6
"558",1
"559",15
"560",15
"561",15
"562",15
"563",9
"564",15
"565",6
"566",3
"567",15
"568",15
"569",15
"570",15
"571",15
"572",15
"573",15
"574",15
"575",15
"576",6
"577",2
"578",15
"579",6
"580",15
"581",15
"582",15
"583",14
"584",15
"585",11
"586",6
"587",15
"588",15
"589",2
"590",15
"591",15
"592",15
"593",15
"594",14
"595",15
"596",6
"597",15
"598",15
"599",15
"600",6
"601",15
"602",15
"603",15
"604",15
"605",15
"606",15
"607",6
"608",15
"609",15
"610",15
"611",14
"612",15
"613",6
"614",15
"615",15
"616",14
"617",3
"618",15
"619",15
"620",15
"621",15
"622",6
