"","x"
"1",3
"2",3
"3",3
"4",11
"5",11
"6",11
"7",11
"8",11
"9",11
"10",11
"11",11
"12",11
"13",1
"14",1
"15",1
"16",1
"17",10
"18",10
"19",10
"20",10
"21",10
"22",10
"23",10
"24",10
"25",1
"26",1
"27",1
"28",1
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",7
"38",7
"39",7
"40",7
"41",7
"42",7
"43",7
"44",7
"45",6
"46",6
"47",8
"48",6
"49",6
"50",6
"51",6
"52",8
"53",6
"54",6
"55",4
"56",6
"57",6
"58",6
"59",6
"60",6
"61",5
"62",5
"63",5
"64",9
"65",5
"66",5
"67",5
"68",5
"69",5
"70",5
"71",5
"72",5
"73",5
"74",8
"75",8
"76",9
"77",9
"78",9
"79",9
"80",8
"81",8
"82",9
"83",8
"84",8
"85",9
"86",8
"87",8
"88",8
"89",9
"90",8
