"","x"
"1",2
"2",6
"3",2
"4",2
"5",10
"6",2
"7",1
"8",6
"9",2
"10",6
"11",2
"12",2
"13",5
"14",2
"15",2
"16",2
"17",7
"18",2
"19",4
"20",4
"21",6
"22",2
"23",2
"24",2
"25",2
"26",7
"27",2
"28",10
"29",1
"30",8
"31",2
"32",2
"33",5
"34",6
"35",2
"36",10
"37",6
"38",2
"39",2
"40",6
"41",2
"42",2
"43",6
"44",10
"45",6
"46",6
"47",10
"48",4
"49",2
"50",2
"51",3
"52",4
"53",6
"54",1
"55",7
"56",5
"57",6
"58",10
"59",6
"60",4
"61",6
"62",2
"63",2
"64",2
"65",6
"66",4
"67",2
"68",2
"69",5
"70",2
"71",1
"72",6
"73",2
"74",2
"75",2
"76",6
"77",2
"78",2
"79",2
"80",4
"81",5
"82",6
"83",10
"84",3
"85",2
"86",10
"87",6
"88",6
"89",2
"90",2
"91",6
"92",5
"93",6
"94",4
"95",6
"96",2
"97",2
"98",10
"99",7
"100",9
"101",8
"102",4
"103",4
"104",4
"105",9
"106",10
"107",10
"108",10
"109",4
"110",4
"111",4
"112",4
"113",2
"114",2
"115",4
"116",8
"117",2
"118",4
"119",10
"120",4
"121",4
"122",10
"123",2
"124",2
"125",4
"126",6
"127",9
"128",10
"129",4
"130",10
"131",2
"132",10
"133",4
"134",7
"135",7
"136",10
"137",4
"138",7
"139",9
"140",10
"141",4
"142",8
"143",10
"144",10
"145",9
"146",10
"147",9
"148",4
"149",4
"150",4
"151",4
"152",4
"153",4
"154",7
"155",4
"156",6
"157",6
"158",10
"159",4
"160",10
"161",5
"162",5
"163",2
"164",2
"165",5
"166",4
"167",4
"168",4
"169",4
"170",4
"171",4
"172",4
"173",4
"174",2
"175",4
"176",7
"177",4
"178",4
"179",4
"180",2
"181",4
"182",4
"183",4
"184",4
"185",10
"186",7
"187",6
"188",10
"189",10
"190",10
"191",4
"192",7
"193",8
"194",4
"195",4
"196",4
"197",4
"198",4
"199",4
"200",10
"201",10
"202",6
"203",9
"204",3
"205",10
"206",3
"207",2
"208",9
"209",10
"210",6
"211",4
"212",6
"213",6
"214",10
"215",10
"216",10
"217",7
"218",5
"219",10
"220",2
"221",6
"222",2
"223",10
"224",10
"225",10
"226",10
"227",5
"228",10
"229",3
"230",10
"231",6
"232",4
"233",2
"234",10
"235",3
"236",10
"237",7
"238",10
"239",3
"240",6
"241",6
"242",10
"243",9
"244",9
"245",7
"246",10
"247",7
"248",10
"249",3
"250",3
"251",6
"252",10
"253",6
"254",7
"255",10
"256",4
"257",9
"258",9
"259",5
"260",4
"261",9
"262",1
"263",6
"264",3
"265",10
"266",6
"267",6
"268",6
"269",1
"270",10
"271",6
"272",10
"273",4
"274",10
"275",6
"276",6
"277",10
"278",10
"279",6
"280",10
"281",10
"282",3
"283",10
"284",10
"285",7
"286",7
"287",6
