"","x"
"Var1_1","7"
"Var1_2","7"
"Var1_3","7"
"Var1_4","7"
"Var1_5","7"
"Var1_6","7"
"Var1_7","0"
"Var1_8","7"
"Var1_9","7"
"Var1_10","7"
"Var1_11","7"
"Var1_12","7"
"Var1_13","3"
"Var1_14","3"
"Var1_15","4"
"Var1_16","10"
"Var1_17","0"
"Var1_18","7"
"Var1_19","6"
"Var1_20","0"
"Var1_21","0"
"Var1_22","2"
"Var1_23","6"
"Var1_24","0"
"Var1_25","3"
"Var1_26","2"
"Var1_27","1"
"Var1_28","7"
"Var1_29","7"
"Var1_30","0"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","0"
"Var1_36","7"
"Var1_37","0"
"Var1_38","0"
"Var1_39","4"
"Var1_40","3"
"Var1_41","10"
"Var1_42","1"
"Var1_43","3"
"Var1_44","10"
"Var1_45","10"
"Var1_46","10"
"Var1_47","7"
"Var1_48","10"
"Var1_49","3"
"Var1_50","1"
"Var1_51","3"
"Var1_52","0"
"Var1_53","7"
"Var1_54","0"
"Var1_55","4"
"Var1_56","10"
"Var1_57","0"
"Var1_58","0"
"Var1_59","0"
"Var1_60","4"
"Var1_61","6"
"Var1_62","2"
"Var1_63","4"
"Var1_64","6"
"Var1_65","6"
"Var1_66","7"
"Var1_67","2"
"Var1_68","0"
"Var1_69","3"
"Var1_70","2"
"Var1_71","4"
"Var1_72","4"
"Var1_73","4"
"Var1_74","3"
"Var1_75","1"
"Var1_76","0"
"Var1_77","3"
"Var1_78","0"
"Var1_79","0"
"Var1_80","0"
"Var1_81","0"
"Var1_82","4"
"Var1_83","0"
"Var1_84","7"
"Var1_85","10"
"Var1_86","3"
"Var1_87","3"
"Var1_88","0"
"Var1_89","4"
"Var1_90","0"
"Var1_91","0"
"Var1_92","0"
"Var1_93","0"
"Var1_94","0"
"Var1_95","0"
"Var1_96","4"
"Var1_97","0"
"Var1_98","3"
"Var1_99","3"
"Var1_100","0"
"Var1_101","3"
"Var1_102","2"
"Var1_103","2"
"Var1_104","3"
"Var1_105","1"
"Var1_106","0"
"Var1_107","4"
"Var1_108","0"
"Var1_109","7"
"Var1_110","3"
"Var1_111","1"
"Var1_112","4"
"Var1_113","3"
"Var1_114","0"
"Var1_115","0"
"Var1_116","0"
"Var1_117","3"
"Var1_118","0"
"Var1_119","3"
"Var1_120","0"
"Var1_121","0"
"Var1_122","0"
"Var1_123","3"
"Var1_124","0"
"Var1_125","0"
"Var1_126","0"
"Var1_127","2"
"Var1_128","0"
"Var1_129","3"
"Var1_130","0"
"Var1_131","2"
"Var1_132","2"
"Var1_133","0"
"Var1_134","7"
"Var1_135","2"
"Var1_136","0"
"Var1_137","0"
"Var1_138","2"
"Var1_139","0"
"Var1_140","3"
"Var1_141","4"
"Var1_142","0"
"Var1_143","1"
"Var1_144","1"
"Var1_145","0"
"Var1_146","3"
"Var1_147","4"
"Var1_148","6"
"Var1_149","6"
"Var1_150","0"
"Var1_151","4"
"Var1_152","0"
"Var1_153","0"
"Var1_154","3"
"Var1_155","0"
"Var1_156","10"
"Var1_157","1"
"Var1_158","4"
"Var1_159","2"
"Var1_160","0"
"Var1_161","2"
"Var1_162","0"
"Var1_163","9"
"Var1_164","0"
"Var1_165","0"
"Var1_166","4"
"Var1_167","4"
"Var1_168","1"
"Var1_169","0"
"Var1_170","4"
"Var1_171","7"
"Var1_172","4"
"Var1_173","7"
"Var1_174","0"
"Var1_175","0"
"Var1_176","0"
"Var1_177","7"
"Var1_178","3"
"Var1_179","0"
"Var1_180","3"
"Var1_181","1"
"Var1_182","7"
"Var1_183","2"
"Var1_184","0"
"Var1_185","2"
"Var1_186","0"
"Var1_187","2"
"Var1_188","5"
"Var1_189","4"
"Var1_190","0"
"Var1_191","2"
"Var1_192","3"
"Var1_193","1"
"Var1_194","0"
"Var1_195","3"
"Var1_196","0"
"Var1_197","9"
"Var1_198","2"
"Var1_199","1"
"Var1_200","1"
"Var1_201","3"
"Var1_202","2"
"Var1_203","6"
"Var1_204","0"
"Var1_205","2"
"Var1_206","0"
"Var1_207","6"
"Var1_208","2"
"Var1_209","6"
"Var1_210","1"
"Var1_211","1"
"Var1_212","2"
"Var1_213","0"
"Var1_214","0"
"Var1_215","8"
"Var1_216","6"
"Var1_217","6"
"Var1_218","8"
"Var1_219","10"
"Var1_220","1"
"Var1_221","3"
"Var1_222","9"
"Var1_223","0"
"Var1_224","4"
"Var1_225","0"
"Var1_226","2"
"Var1_227","1"
"Var1_228","0"
"Var1_229","3"
"Var1_230","6"
"Var1_231","0"
"Var1_232","3"
"Var1_233","3"
"Var1_234","0"
"Var1_235","3"
"Var1_236","4"
"Var1_237","10"
"Var1_238","4"
"Var1_239","0"
"Var1_240","3"
"Var1_241","0"
"Var1_242","8"
"Var1_243","0"
"Var1_244","7"
"Var1_245","2"
"Var1_246","3"
"Var1_247","1"
"Var1_248","2"
"Var1_249","1"
"Var1_250","5"
"Var1_251","3"
"Var1_252","3"
"Var1_253","0"
"Var1_254","1"
"Var1_255","3"
"Var1_256","9"
"Var1_257","2"
"Var1_258","1"
"Var1_259","0"
"Var1_260","0"
"Var1_261","6"
"Var1_262","3"
"Var1_263","2"
"Var1_264","0"
"Var1_265","9"
"Var1_266","0"
"Var1_267","1"
"Var1_268","0"
"Var1_269","8"
"Var1_270","2"
"Var1_271","3"
"Var1_272","2"
"Var1_273","5"
"Var1_274","2"
"Var1_275","3"
"Var1_276","1"
"Var1_277","9"
"Var1_278","6"
"Var1_279","2"
"Var1_280","2"
"Var1_281","3"
"Var1_282","0"
"Var1_283","0"
"Var1_284","6"
"Var1_285","2"
"Var1_286","4"
"Var1_287","3"
"Var1_288","11"
"Var1_289","5"
"Var1_290","0"
"Var1_291","1"
"Var1_292","4"
"Var1_293","4"
"Var1_294","1"
"Var1_295","0"
"Var1_296","1"
"Var1_297","4"
"Var1_298","0"
"Var1_299","0"
"Var1_300","4"
"Var1_301","9"
"Var1_302","5"
"Var1_303","0"
"Var1_304","0"
"Var1_305","4"
"Var1_306","3"
"Var1_307","1"
"Var1_308","9"
"Var1_309","9"
"Var1_310","3"
"Var1_311","0"
"Var1_312","0"
"Var1_313","9"
"Var1_314","0"
"Var1_315","9"
"Var1_316","1"
"Var1_317","0"
"Var1_318","4"
"Var1_319","5"
"Var1_320","0"
"Var1_321","3"
"Var1_322","2"
"Var1_323","9"
"Var1_324","2"
"Var1_325","8"
"Var1_326","2"
"Var1_327","2"
"Var1_328","0"
"Var1_329","1"
"Var1_330","6"
"Var1_331","4"
"Var1_332","2"
"Var1_333","0"
"Var1_334","2"
"Var1_335","4"
"Var1_336","4"
"Var1_337","3"
"Var1_338","3"
"Var1_339","1"
"Var1_340","4"
"Var1_341","1"
"Var1_342","6"
"Var1_343","7"
"Var1_344","0"
"Var1_345","2"
"Var1_346","0"
"Var1_347","0"
"Var1_348","2"
"Var1_349","1"
"Var1_350","8"
"Var1_351","0"
"Var1_352","9"
"Var1_353","1"
"Var1_354","9"
"Var1_355","5"
"Var1_356","0"
"Var1_357","2"
"Var1_358","8"
"Var1_359","1"
"Var1_360","8"
"Var1_361","5"
"Var1_362","9"
"Var1_363","0"
"Var1_364","1"
"Var1_365","2"
"Var1_366","2"
"Var1_367","9"
"Var1_368","0"
"Var1_369","4"
"Var1_370","3"
"Var1_371","7"
"Var1_372","7"
"Var1_373","9"
"Var1_374","6"
"Var1_375","6"
"Var1_376","5"
"Var1_377","3"
"Var1_378","0"
"Var1_379","0"
"Var1_380","5"
"Var1_381","2"
"Var1_382","7"
"Var1_383","5"
"Var1_384","5"
"Var1_385","2"
"Var1_386","4"
"Var1_387","4"
"Var1_388","9"
"Var1_389","0"
"Var1_390","2"
"Var1_391","4"
"Var1_392","0"
"Var1_393","1"
"Var1_394","4"
"Var1_395","1"
"Var1_396","3"
"Var1_397","4"
"Var1_398","8"
"Var1_399","10"
"Var1_400","1"
"Var1_401","2"
"Var1_402","4"
"Var1_403","9"
"Var1_404","8"
"Var1_405","1"
"Var1_406","2"
"Var1_407","8"
"Var1_408","5"
"Var1_409","1"
"Var1_410","6"
"Var1_411","5"
"Var1_412","6"
"Var1_413","7"
"Var1_414","2"
"Var1_415","3"
"Var1_416","3"
"Var1_417","11"
"Var1_418","6"
"Var1_419","5"
"Var1_420","5"
"Var1_421","9"
"Var1_422","5"
"Var1_423","5"
"Var1_424","1"
"Var1_425","4"
"Var1_426","9"
"Var1_427","2"
"Var1_428","11"
"Var1_429","4"
"Var1_430","5"
"Var1_431","9"
"Var1_432","8"
"Var1_433","2"
"Var1_434","1"
"Var1_435","2"
"Var1_436","7"
"Var1_437","6"
"Var1_438","1"
"Var1_439","4"
"Var1_440","6"
"Var1_441","1"
"Var1_442","1"
"Var1_443","6"
"Var1_444","7"
"Var1_445","5"
"Var1_446","1"
"Var1_447","4"
"Var1_448","1"
"Var1_449","6"
"Var1_450","10"
"Var1_451","1"
"Var1_452","8"
"Var1_453","7"
"Var1_454","9"
"Var1_455","8"
"Var1_456","5"
"Var1_457","5"
"Var1_458","2"
"Var1_459","8"
"Var1_460","1"
"Var1_461","7"
"Var1_462","1"
"Var1_463","5"
"Var1_464","5"
"Var1_465","0"
"Var1_466","7"
"Var1_467","3"
"Var1_468","1"
"Var1_469","1"
"Var1_470","4"
"Var1_471","0"
"Var1_472","4"
"Var1_473","1"
"Var1_474","1"
"Var1_475","1"
"Var1_476","9"
"Var1_477","6"
"Var1_478","1"
"Var1_479","9"
"Var1_480","1"
"Var1_481","3"
"Var1_482","1"
"Var1_483","1"
"Var1_484","9"
"Var1_485","8"
"Var1_486","3"
"Var1_487","0"
"Var1_488","3"
"Var1_489","8"
"Var1_490","3"
"Var1_491","1"
"Var1_492","2"
"Var1_493","3"
"Var1_494","2"
"Var1_495","8"
"Var1_496","8"
"Var1_497","4"
"Var1_498","5"
"Var1_499","5"
"Var1_500","10"
"Var1_501","1"
"Var1_502","2"
"Var1_503","3"
"Var1_504","1"
"Var1_505","5"
"Var1_506","2"
"Var1_507","8"
"Var1_508","1"
"Var1_509","5"
"Var1_510","10"
"Var1_511","9"
"Var1_512","1"
"Var1_513","8"
"Var1_514","1"
"Var1_515","5"
"Var1_516","9"
"Var1_517","1"
"Var1_518","1"
"Var1_519","2"
"Var1_520","5"
"Var1_521","9"
"Var1_522","1"
"Var1_523","1"
"Var1_524","4"
"Var1_525","4"
"Var1_526","5"
"Var1_527","11"
"Var1_528","1"
"Var1_529","1"
"Var1_530","5"
"Var1_531","1"
"Var1_532","5"
"Var1_533","1"
"Var1_534","5"
"Var1_535","1"
"Var1_536","8"
"Var1_537","5"
"Var1_538","5"
"Var1_539","1"
"Var1_540","5"
"Var1_541","8"
"Var1_542","1"
"Var1_543","2"
"Var1_544","6"
"Var1_545","5"
"Var1_546","4"
"Var1_547","1"
"Var1_548","5"
"Var1_549","1"
"Var1_550","1"
"Var1_551","1"
"Var1_552","5"
"Var1_553","11"
"Var1_554","5"
"Var1_555","6"
"Var1_556","1"
"Var1_557","6"
"Var1_558","5"
"Var1_559","8"
"Var1_560","1"
"Var1_561","5"
"Var1_562","5"
"Var1_563","1"
"Var1_564","5"
"Var1_565","5"
"Var1_566","2"
"Var1_567","6"
"Var1_568","0"
"Var1_569","7"
"Var1_570","3"
"Var1_571","3"
"Var1_572","7"
"Var1_573","7"
"Var1_574","7"
"Var1_575","7"
"Var1_576","3"
"Var1_577","7"
"Var1_578","7"
"Var1_579","2"
"Var1_580","3"
"Var1_581","3"
"Var1_582","3"
"Var1_583","3"
"Var1_584","7"
"Var1_585","0"
"Var1_586","7"
"Var1_587","5"
"Var1_588","3"
"Var1_589","0"
"Var1_590","3"
"Var1_591","2"
"Var1_592","6"
"Var1_593","3"
"Var1_594","3"
"Var1_595","0"
"Var1_596","3"
"Var1_597","0"
"Var1_598","4"
"Var1_599","3"
"Var1_600","9"
"Var1_601","0"
"Var1_602","3"
"Var1_603","0"
"Var1_604","3"
"Var1_605","0"
"Var1_606","2"
"Var1_607","0"
"Var1_608","3"
"Var1_609","3"
"Var1_610","0"
"Var1_611","3"
"Var1_612","3"
"Var1_613","6"
"Var1_614","0"
"Var1_615","3"
"Var1_616","3"
"Var1_617","2"
"Var1_618","0"
"Var1_619","2"
"Var1_620","2"
"Var1_621","0"
"Var1_622","7"
"Var1_623","0"
"Var1_624","4"
"Var1_625","0"
"Var1_626","3"
"Var1_627","10"
"Var1_628","0"
"Var1_629","0"
"Var1_630","0"
"Var1_631","3"
"Var1_632","0"
"Var1_633","2"
"Var1_634","6"
"Var1_635","7"
"Var1_636","3"
"Var1_637","0"
"Var1_638","1"
"Var1_639","0"
"Var1_640","7"
"Var1_641","0"
"Var1_642","3"
"Var1_643","0"
"Var1_644","0"
"Var1_645","0"
"Var1_646","3"
"Var1_647","3"
"Var1_648","1"
"Var1_649","3"
"Var1_650","1"
"Var1_651","0"
"Var1_652","0"
"Var1_653","0"
"Var1_654","0"
"Var1_655","0"
"Var1_656","7"
"Var1_657","0"
"Var1_658","0"
"Var1_659","0"
"Var1_660","2"
"Var1_661","5"
"Var1_662","0"
"Var1_663","3"
"Var1_664","0"
"Var1_665","3"
"Var1_666","0"
"Var1_667","3"
"Var1_668","1"
"Var1_669","1"
"Var1_670","3"
"Var1_671","6"
"Var1_672","0"
"Var1_673","0"
"Var1_674","6"
"Var1_675","0"
"Var1_676","0"
"Var1_677","0"
"Var1_678","0"
"Var1_679","7"
"Var1_680","7"
"Var1_681","0"
"Var1_682","2"
"Var1_683","0"
"Var1_684","3"
"Var1_685","0"
"Var1_686","0"
"Var1_687","4"
"Var1_688","0"
"Var1_689","4"
"Var1_690","6"
"Var1_691","0"
"Var1_692","7"
"Var1_693","0"
"Var1_694","7"
"Var1_695","0"
"Var1_696","6"
"Var1_697","1"
"Var1_698","10"
"Var1_699","2"
"Var1_700","0"
"Var1_701","3"
"Var1_702","3"
"Var1_703","0"
"Var1_704","1"
"Var1_705","0"
"Var1_706","4"
"Var1_707","7"
"Var1_708","4"
"Var1_709","0"
"Var1_710","0"
"Var1_711","3"
"Var1_712","4"
"Var1_713","6"
"Var1_714","0"
"Var1_715","0"
"Var1_716","6"
"Var1_717","11"
"Var1_718","0"
"Var1_719","3"
"Var1_720","0"
"Var1_721","0"
"Var1_722","0"
"Var1_723","0"
"Var1_724","0"
"Var1_725","10"
"Var1_726","0"
"Var1_727","0"
"Var1_728","6"
"Var1_729","1"
"Var1_730","0"
"Var1_731","1"
"Var1_732","0"
"Var1_733","0"
"Var1_734","3"
"Var1_735","1"
"Var1_736","0"
"Var1_737","3"
"Var1_738","0"
"Var1_739","0"
"Var1_740","0"
"Var1_741","0"
"Var1_742","2"
"Var1_743","4"
"Var1_744","0"
"Var1_745","7"
"Var1_746","4"
"Var1_747","4"
"Var1_748","0"
"Var1_749","0"
"Var1_750","6"
"Var1_751","0"
"Var1_752","3"
"Var1_753","0"
"Var1_754","2"
"Var1_755","4"
"Var1_756","0"
"Var1_757","1"
"Var1_758","0"
"Var1_759","3"
"Var1_760","0"
"Var1_761","0"
"Var1_762","4"
"Var1_763","1"
"Var1_764","1"
"Var1_765","0"
"Var1_766","0"
"Var1_767","4"
"Var1_768","0"
"Var1_769","4"
"Var1_770","9"
"Var1_771","1"
"Var1_772","0"
"Var1_773","3"
"Var1_774","6"
"Var1_775","0"
"Var1_776","0"
"Var1_777","4"
"Var1_778","3"
"Var1_779","1"
"Var1_780","6"
"Var1_781","4"
"Var1_782","4"
"Var1_783","0"
"Var1_784","0"
"Var1_785","6"
"Var1_786","10"
"Var1_787","4"
"Var1_788","2"
"Var1_789","0"
"Var1_790","1"
"Var1_791","10"
"Var1_792","2"
"Var1_793","7"
"Var1_794","9"
"Var1_795","0"
"Var1_796","0"
"Var1_797","0"
"Var1_798","3"
"Var1_799","2"
"Var1_800","5"
"Var1_801","9"
"Var1_802","1"
"Var1_803","2"
"Var1_804","0"
"Var1_805","0"
"Var1_806","1"
"Var1_807","3"
"Var1_808","4"
"Var1_809","5"
"Var1_810","0"
"Var1_811","3"
"Var1_812","0"
"Var1_813","2"
"Var1_814","0"
"Var1_815","2"
"Var1_816","2"
"Var1_817","4"
"Var1_818","2"
"Var1_819","6"
"Var1_820","4"
"Var1_821","2"
"Var1_822","5"
"Var1_823","1"
"Var1_824","1"
"Var1_825","6"
"Var1_826","3"
"Var1_827","1"
"Var1_828","0"
"Var1_829","2"
"Var1_830","2"
"Var1_831","3"
"Var1_832","9"
"Var1_833","2"
"Var1_834","0"
"Var1_835","2"
"Var1_836","6"
"Var1_837","1"
"Var1_838","9"
"Var1_839","0"
"Var1_840","8"
"Var1_841","3"
"Var1_842","0"
"Var1_843","2"
"Var1_844","3"
"Var1_845","1"
"Var1_846","7"
"Var1_847","1"
"Var1_848","0"
"Var1_849","0"
"Var1_850","1"
"Var1_851","0"
"Var1_852","2"
"Var1_853","0"
"Var1_854","4"
"Var1_855","11"
"Var1_856","9"
"Var1_857","4"
"Var1_858","4"
"Var1_859","2"
"Var1_860","7"
"Var1_861","5"
"Var1_862","2"
"Var1_863","0"
"Var1_864","2"
"Var1_865","2"
"Var1_866","2"
"Var1_867","4"
"Var1_868","0"
"Var1_869","2"
"Var1_870","2"
"Var1_871","11"
"Var1_872","2"
"Var1_873","4"
"Var1_874","1"
"Var1_875","4"
"Var1_876","2"
"Var1_877","10"
"Var1_878","3"
"Var1_879","2"
"Var1_880","2"
"Var1_881","5"
"Var1_882","0"
"Var1_883","8"
"Var1_884","0"
"Var1_885","0"
"Var1_886","4"
"Var1_887","6"
"Var1_888","4"
"Var1_889","6"
"Var1_890","0"
"Var1_891","1"
"Var1_892","8"
"Var1_893","4"
"Var1_894","6"
"Var1_895","4"
"Var1_896","0"
"Var1_897","3"
"Var1_898","6"
"Var1_899","2"
"Var1_900","6"
"Var1_901","4"
"Var1_902","9"
"Var1_903","6"
"Var1_904","1"
"Var1_905","9"
"Var1_906","3"
"Var1_907","2"
"Var1_908","9"
"Var1_909","2"
"Var1_910","0"
"Var1_911","11"
"Var1_912","1"
"Var1_913","0"
"Var1_914","8"
"Var1_915","3"
"Var1_916","0"
"Var1_917","2"
"Var1_918","0"
"Var1_919","2"
"Var1_920","0"
"Var1_921","0"
"Var1_922","9"
"Var1_923","2"
"Var1_924","0"
"Var1_925","1"
"Var1_926","1"
"Var1_927","4"
"Var1_928","11"
"Var1_929","1"
"Var1_930","3"
"Var1_931","0"
"Var1_932","9"
"Var1_933","9"
"Var1_934","3"
"Var1_935","2"
"Var1_936","4"
"Var1_937","1"
"Var1_938","3"
"Var1_939","2"
"Var1_940","5"
"Var1_941","4"
"Var1_942","8"
"Var1_943","7"
"Var1_944","0"
"Var1_945","7"
"Var1_946","2"
"Var1_947","9"
"Var1_948","11"
"Var1_949","0"
"Var1_950","0"
"Var1_951","7"
"Var1_952","0"
"Var1_953","1"
"Var1_954","2"
"Var1_955","3"
"Var1_956","0"
"Var1_957","6"
"Var1_958","2"
"Var1_959","1"
"Var1_960","3"
"Var1_961","4"
"Var1_962","4"
"Var1_963","7"
"Var1_964","0"
"Var1_965","0"
"Var1_966","1"
"Var1_967","2"
"Var1_968","2"
"Var1_969","2"
"Var1_970","6"
"Var1_971","2"
"Var1_972","7"
"Var1_973","7"
"Var1_974","0"
"Var1_975","3"
"Var1_976","8"
"Var1_977","2"
"Var1_978","3"
"Var1_979","4"
"Var1_980","6"
"Var1_981","4"
"Var1_982","0"
"Var1_983","1"
"Var1_984","0"
"Var1_985","8"
"Var1_986","5"
"Var1_987","7"
"Var1_988","10"
"Var1_989","3"
"Var1_990","4"
"Var1_991","2"
"Var1_992","5"
"Var1_993","5"
"Var1_994","2"
"Var1_995","0"
"Var1_996","9"
"Var1_997","0"
"Var1_998","6"
"Var1_999","8"
"Var1_1000","2"
"Var1_1001","1"
"Var1_1002","4"
"Var1_1003","2"
"Var1_1004","7"
"Var1_1005","8"
"Var1_1006","1"
"Var1_1007","2"
"Var1_1008","0"
"Var1_1009","6"
"Var1_1010","0"
"Var1_1011","3"
"Var1_1012","1"
"Var1_1013","1"
"Var1_1014","0"
"Var1_1015","1"
"Var1_1016","8"
"Var1_1017","0"
"Var1_1018","0"
"Var1_1019","8"
"Var1_1020","5"
"Var1_1021","4"
"Var1_1022","1"
"Var1_1023","6"
"Var1_1024","9"
"Var1_1025","2"
"Var1_1026","9"
"Var1_1027","2"
"Var1_1028","8"
"Var1_1029","5"
"Var1_1030","8"
"Var1_1031","3"
"Var1_1032","1"
"Var1_1033","6"
"Var1_1034","5"
"Var1_1035","4"
"Var1_1036","3"
"Var1_1037","8"
"Var1_1038","5"
"Var1_1039","7"
"Var1_1040","5"
"Var1_1041","3"
"Var1_1042","9"
"Var1_1043","10"
"Var1_1044","5"
"Var1_1045","1"
"Var1_1046","6"
"Var1_1047","0"
"Var1_1048","1"
"Var1_1049","2"
"Var1_1050","2"
"Var1_1051","4"
"Var1_1052","6"
"Var1_1053","4"
"Var1_1054","2"
"Var1_1055","5"
"Var1_1056","5"
"Var1_1057","1"
"Var1_1058","5"
"Var1_1059","5"
"Var1_1060","2"
"Var1_1061","8"
"Var1_1062","6"
