"","x"
"X.acinar.","4"
"X.acinar..1","4"
"X.acinar..2","4"
"X.acinar..3","4"
"X.acinar..4","4"
"X.acinar..5","4"
"X.beta.","2"
"X.acinar..6","4"
"X.acinar..7","4"
"X.acinar..8","4"
"X.acinar..9","4"
"X.acinar..10","4"
"X.delta.","1"
"X.delta..1","1"
"X.beta..1","2"
"X.activated_stellate.","6"
"X.beta..2","2"
"X.acinar..11","4"
"X.ductal.","5"
"X.beta..3","0"
"X.beta..4","2"
"X.alpha.","3"
"X.ductal..1","2"
"X.beta..5","0"
"X.delta..2","1"
"X.alpha..1","3"
"X.beta..6","0"
"X.acinar..12","4"
"X.acinar..13","4"
"X.beta..7","0"
"X.delta..3","1"
"X.delta..4","1"
"X.delta..5","1"
"X.delta..6","1"
"X.beta..8","0"
"X.acinar..14","4"
"X.beta..9","0"
"X.beta..10","2"
"X.beta..11","2"
"X.delta..7","1"
"X.activated_stellate..1","6"
"X.beta..12","0"
"X.delta..8","1"
"X.activated_stellate..2","6"
"X.activated_stellate..3","6"
"X.activated_stellate..4","6"
"X.acinar..15","4"
"X.activated_stellate..5","6"
"X.delta..9","1"
"X.beta..13","0"
"X.delta..10","1"
"X.beta..14","0"
"X.acinar..16","4"
"X.beta..15","0"
"X.beta..16","2"
"X.activated_stellate..6","6"
"X.beta..17","0"
"X.beta..18","0"
"X.beta..19","2"
"X.beta..20","7"
"X.ductal..2","5"
"X.alpha..2","3"
"X.beta..21","7"
"X.ductal..3","5"
"X.ductal..4","2"
"X.acinar..17","4"
"X.alpha..3","3"
"X.beta..22","2"
"X.delta..11","1"
"X.alpha..4","3"
"X.beta..23","2"
"X.beta..24","7"
"X.beta..25","2"
"X.delta..12","1"
"X.beta..26","0"
"X.beta..27","0"
"X.delta..13","1"
"X.beta..28","2"
"X.beta..29","0"
"X.beta..30","0"
"X.beta..31","2"
"X.beta..32","2"
"X.beta..33","0"
"X.acinar..18","4"
"X.activated_stellate..7","6"
"X.delta..14","1"
"X.delta..15","1"
"X.beta..34","0"
"X.beta..35","7"
"X.beta..36","0"
"X.beta..37","0"
"X.beta..38","0"
"X.beta..39","0"
"X.beta..40","2"
"X.beta..41","0"
"X.beta..42","7"
"X.beta..43","0"
"X.delta..16","1"
"X.delta..17","1"
"X.beta..44","0"
"X.delta..18","1"
"X.alpha..5","3"
"X.alpha..6","3"
"X.delta..19","1"
"X.beta..45","0"
"X.beta..46","0"
"X.beta..47","2"
"X.beta..48","2"
"X.acinar..19","4"
"X.delta..20","1"
"X.beta..49","0"
"X.beta..50","7"
"X.delta..21","1"
"X.beta..51","0"
"X.beta..52","0"
"X.beta..53","0"
"X.delta..22","1"
"X.beta..54","0"
"X.delta..23","1"
"X.beta..55","0"
"X.beta..56","0"
"X.beta..57","2"
"X.epsilon.","1"
"X.beta..58","0"
"X.beta..59","2"
"X.beta..60","0"
"X.delta..24","1"
"X.beta..61","0"
"X.delta..25","1"
"X.beta..62","0"
"X.alpha..7","3"
"X.alpha..8","3"
"X.beta..63","0"
"X.acinar..20","4"
"X.alpha..9","3"
"X.beta..64","0"
"X.beta..65","0"
"X.alpha..10","3"
"X.beta..66","0"
"X.delta..26","1"
"X.beta..67","7"
"X.beta..68","0"
"X.beta..69","0"
"X.beta..70","2"
"X.beta..71","0"
"X.beta..72","0"
"X.ductal..5","5"
"X.ductal..6","5"
"X.beta..73","2"
"X.beta..74","2"
"X.beta..75","0"
"X.beta..76","0"
"X.delta..27","1"
"X.beta..77","0"
"X.activated_stellate..8","6"
"X.beta..78","0"
"X.alpha..11","3"
"X.beta..79","2"
"X.alpha..12","3"
"X.beta..80","0"
"X.beta..81","0"
"X.beta..82","0"
"X.beta..83","2"
"X.beta..84","7"
"X.beta..85","0"
"X.beta..86","0"
"X.beta..87","2"
"X.acinar..21","4"
"X.beta..88","7"
"X.acinar..22","4"
"X.beta..89","0"
"X.beta..90","0"
"X.acinar..23","4"
"X.delta..28","1"
"X.beta..91","0"
"X.delta..29","1"
"X.beta..92","0"
