"","x"
"zygote","0"
"zygote.1","0"
"zygote.2","0"
"zygote.3","0"
"zygote.4","0"
"zygote.5","0"
"zygote.6","0"
"zygote.7","0"
"zygote.8","0"
"X2cell","0"
"X2cell.1","0"
"X2cell.2","0"
"X2cell.3","0"
"X2cell.4","0"
"X2cell.5","0"
"X2cell.6","0"
"X2cell.7","0"
"X2cell.8","0"
"X2cell.9","0"
"X2cell.10","0"
"X2cell.11","0"
"X2cell.12","0"
"X2cell.13","0"
"X2cell.14","0"
"X2cell.15","0"
"X2cell.16","0"
"X2cell.17","0"
"X2cell.18","0"
"X2cell.19","0"
"X4cell","1"
"X4cell.1","1"
"X4cell.2","1"
"X4cell.3","1"
"X4cell.4","1"
"X4cell.5","1"
"X4cell.6","1"
"X4cell.7","1"
"X4cell.8","1"
"X4cell.9","1"
"X4cell.10","1"
"X4cell.11","1"
"X4cell.12","1"
"X4cell.13","1"
"X4cell.14","1"
"X4cell.15","1"
"X4cell.16","1"
"X4cell.17","1"
"X4cell.18","1"
"X4cell.19","1"
