"","x"
"Var1_1","3"
"Var1_2","3"
"Var1_3","3"
"Var1_4","3"
"Var1_5","3"
"Var1_6","3"
"Var1_7","3"
"Var1_8","3"
"Var1_9","3"
"Var1_10","3"
"Var1_11","3"
"Var1_12","3"
"Var1_13","3"
"Var1_14","3"
"Var1_15","3"
"Var1_16","3"
"Var1_17","3"
"Var1_18","3"
"Var1_19","3"
"Var1_20","3"
"Var1_21","3"
"Var1_22","3"
"Var1_23","3"
"Var1_24","3"
"Var1_25","3"
"Var1_26","3"
"Var1_27","3"
"Var1_28","3"
"Var1_29","3"
"Var1_30","3"
"Var1_31","3"
"Var1_32","3"
"Var1_33","3"
"Var1_34","3"
"Var1_35","3"
"Var1_36","3"
"Var1_37","3"
"Var1_38","3"
"Var1_39","3"
"Var1_40","3"
"Var1_41","3"
"Var1_42","3"
"Var1_43","3"
"Var1_44","3"
"Var1_45","3"
"Var1_46","3"
"Var1_47","3"
"Var1_48","3"
"Var1_49","0"
"Var1_50","0"
"Var1_51","0"
"Var1_52","0"
"Var1_53","0"
"Var1_54","0"
"Var1_55","0"
"Var1_56","0"
"Var1_57","0"
"Var1_58","0"
"Var1_59","0"
"Var1_60","0"
"Var1_61","0"
"Var1_62","0"
"Var1_63","0"
"Var1_64","0"
"Var1_65","0"
"Var1_66","0"
"Var1_67","0"
"Var1_68","0"
"Var1_69","0"
"Var1_70","0"
"Var1_71","0"
"Var1_72","1"
"Var1_73","0"
"Var1_74","0"
"Var1_75","0"
"Var1_76","0"
"Var1_77","0"
"Var1_78","0"
"Var1_79","0"
"Var1_80","0"
"Var1_81","0"
"Var1_82","0"
"Var1_83","0"
"Var1_84","0"
"Var1_85","0"
"Var1_86","0"
"Var1_87","0"
"Var1_88","0"
"Var1_89","0"
"Var1_90","0"
"Var1_91","0"
"Var1_92","0"
"Var1_93","0"
"Var1_94","0"
"Var1_95","0"
"Var1_96","0"
"Var1_97","0"
"Var1_98","0"
"Var1_99","0"
"Var1_100","0"
"Var1_101","0"
"Var1_102","0"
"Var1_103","3"
"Var1_104","0"
"Var1_105","0"
"Var1_106","0"
"Var1_107","0"
"Var1_108","0"
"Var1_109","0"
"Var1_110","0"
"Var1_111","0"
"Var1_112","0"
"Var1_113","0"
"Var1_114","0"
"Var1_115","0"
"Var1_116","0"
"Var1_117","0"
"Var1_118","0"
"Var1_119","0"
"Var1_120","0"
"Var1_121","0"
"Var1_122","0"
"Var1_123","0"
"Var1_124","0"
"Var1_125","0"
"Var1_126","0"
"Var1_127","0"
"Var1_128","0"
"Var1_129","0"
"Var1_130","0"
"Var1_131","0"
"Var1_132","0"
"Var1_133","0"
"Var1_134","0"
"Var1_135","0"
"Var1_136","2"
"Var1_137","2"
"Var1_138","2"
"Var1_139","2"
"Var1_140","1"
"Var1_141","1"
"Var1_142","1"
"Var1_143","2"
"Var1_144","1"
"Var1_145","2"
"Var1_146","2"
"Var1_147","2"
"Var1_148","2"
"Var1_149","2"
"Var1_150","2"
"Var1_151","2"
"Var1_152","1"
"Var1_153","2"
"Var1_154","2"
"Var1_155","2"
"Var1_156","1"
"Var1_157","1"
"Var1_158","1"
"Var1_159","1"
"Var1_160","1"
"Var1_161","1"
"Var1_162","1"
"Var1_163","2"
"Var1_164","1"
"Var1_165","1"
"Var1_166","2"
"Var1_167","1"
"Var1_168","2"
"Var1_169","1"
"Var1_170","1"
"Var1_171","1"
"Var1_172","2"
"Var1_173","2"
"Var1_174","2"
"Var1_175","2"
"Var1_176","1"
"Var1_177","2"
"Var1_178","2"
"Var1_179","1"
"Var1_180","2"
"Var1_181","2"
"Var1_182","1"
"Var1_183","1"
"Var1_184","2"
"Var1_185","2"
"Var1_186","2"
"Var1_187","1"
"Var1_188","2"
"Var1_189","1"
"Var1_190","1"
"Var1_191","1"
"Var1_192","2"
"Var1_193","1"
"Var1_194","1"
"Var1_195","2"
"Var1_196","2"
"Var1_197","1"
"Var1_198","1"
"Var1_199","1"
"Var1_200","1"
"Var1_201","1"
"Var1_202","1"
"Var1_203","2"
"Var1_204","2"
"Var1_205","1"
"Var1_206","1"
"Var1_207","1"
"Var1_208","1"
"Var1_209","2"
"Var1_210","1"
"Var1_211","1"
"Var1_212","1"
"Var1_213","1"
"Var1_214","1"
"Var1_215","2"
"Var1_216","1"
"Var1_217","2"
"Var1_218","2"
"Var1_219","1"
"Var1_220","1"
"Var1_221","2"
"Var1_222","2"
"Var1_223","1"
"Var1_224","2"
"Var1_225","1"
"Var1_226","2"
"Var1_227","1"
"Var1_228","1"
"Var1_229","2"
"Var1_230","2"
"Var1_231","2"
"Var1_232","2"
"Var1_233","2"
"Var1_234","2"
"Var1_235","2"
"Var1_236","2"
"Var1_237","2"
"Var1_238","2"
"Var1_239","4"
"Var1_240","1"
"Var1_241","4"
"Var1_242","4"
"Var1_243","4"
"Var1_244","4"
"Var1_245","4"
"Var1_246","4"
"Var1_247","2"
"Var1_248","4"
"Var1_249","1"
"Var1_250","4"
"Var1_251","1"
"Var1_252","4"
"Var1_253","1"
"Var1_254","4"
"Var1_255","4"
"Var1_256","4"
"Var1_257","4"
"Var1_258","1"
"Var1_259","4"
"Var1_260","4"
"Var1_261","4"
"Var1_262","1"
"Var1_263","4"
"Var1_264","4"
"Var1_265","4"
"Var1_266","4"
"Var1_267","4"
"Var1_268","4"
