"","x"
"X2cell","4"
"X2cell.1","4"
"X2cell.2","4"
"X2cell.3","4"
"X2cell.4","4"
"X2cell.5","4"
"X4cell","0"
"X4cell.1","0"
"X4cell.2","0"
"X4cell.3","0"
"X4cell.4","0"
"X4cell.5","0"
"X4cell.6","0"
"X4cell.7","0"
"X4cell.8","0"
"X4cell.9","0"
"X4cell.10","0"
"X4cell.11","0"
"X4cell.12","0"
"X4cell.13","0"
"X4cell.14","0"
"X4cell.15","0"
"X4cell.16","0"
"X4cell.17","0"
"X4cell.18","0"
"X4cell.19","0"
"X4cell.20","0"
"X4cell.21","0"
"X4cell.22","0"
"X4cell.23","0"
"X4cell.24","0"
"X4cell.25","0"
"X4cell.26","0"
"X4cell.27","0"
"X4cell.28","1"
"X4cell.29","1"
"X4cell.30","0"
"X4cell.31","0"
"X4cell.32","0"
"X4cell.33","0"
"X4cell.34","0"
"X4cell.35","0"
"X4cell.36","1"
"X4cell.37","1"
"X4cell.38","0"
"X4cell.39","0"
"X8cell","1"
"X8cell.1","1"
"X8cell.2","1"
"X8cell.3","1"
"X8cell.4","1"
"X8cell.5","1"
"X8cell.6","1"
"X8cell.7","1"
"X8cell.8","1"
"X8cell.9","1"
"X8cell.10","1"
"X8cell.11","1"
"X8cell.12","1"
"X8cell.13","1"
"X8cell.14","1"
"X8cell.15","1"
"X16cell","3"
"X16cell.1","1"
"X16cell.2","1"
"X16cell.3","1"
"X16cell.4","1"
"X16cell.5","1"
"X32cell","1"
"X32cell.1","1"
"X32cell.2","1"
"X32cell.3","1"
"X32cell.4","1"
"X32cell.5","3"
"X8cell.16","3"
"X8cell.17","3"
"X8cell.18","3"
"X8cell.19","3"
"X8cell.20","3"
"X8cell.21","3"
"X8cell.22","3"
"X8cell.23","3"
"X8cell.24","3"
"X8cell.25","3"
"X8cell.26","3"
"X8cell.27","3"
"X8cell.28","3"
"X8cell.29","3"
"X8cell.30","3"
"X8cell.31","3"
"X2cell.6","4"
"X2cell.7","4"
"X2cell.8","4"
"X2cell.9","4"
"X2cell.10","4"
"X2cell.11","4"
"X2cell.12","4"
"X2cell.13","4"
"X2cell.14","4"
"X2cell.15","4"
"X4cell.40","2"
"X4cell.41","2"
"X4cell.42","2"
"X4cell.43","2"
"X4cell.44","2"
"X4cell.45","2"
"X4cell.46","2"
"X4cell.47","2"
"X4cell.48","2"
"X4cell.49","2"
"X4cell.50","2"
"X4cell.51","2"
"X4cell.52","2"
"X4cell.53","2"
"X4cell.54","2"
"X4cell.55","2"
"X4cell.56","2"
"X4cell.57","2"
"X4cell.58","2"
"X4cell.59","2"
"X4cell.60","2"
"X4cell.61","2"
"X4cell.62","2"
"X4cell.63","2"
