"","x"
"d0","4"
"d0.1","4"
"d0.2","4"
"d0.3","4"
"d0.4","4"
"d0.5","4"
"d0.6","4"
"d0.7","5"
"d0.8","4"
"d0.9","4"
"d0.10","4"
"d0.11","4"
"d0.12","4"
"d0.13","4"
"d0.14","4"
"d0.15","4"
"d0.16","4"
"d0.17","4"
"d0.18","4"
"d0.19","4"
"d0.20","4"
"d0.21","4"
"d0.22","4"
"d0.23","4"
"d0.24","4"
"d0.25","4"
"d0.26","4"
"d0.27","4"
"d0.28","4"
"d0.29","4"
"d0.30","4"
"d0.31","4"
"d0.32","4"
"d0.33","4"
"d0.34","4"
"d0.35","4"
"d0.36","4"
"d0.37","4"
"d0.38","4"
"d0.39","4"
"d0.40","4"
"d0.41","4"
"d0.42","2"
"d0.43","4"
"d0.44","4"
"d0.45","4"
"d0.46","4"
"d0.47","4"
"d0.48","4"
"d0.49","4"
"d0.50","4"
"d0.51","4"
"d0.52","4"
"d0.53","4"
"d0.54","4"
"d0.55","4"
"d0.56","4"
"d0.57","4"
"d0.58","4"
"d0.59","4"
"d0.60","4"
"d0.61","4"
"d0.62","4"
"d0.63","4"
"d0.64","4"
"d0.65","4"
"d0.66","4"
"d0.67","4"
"d0.68","4"
"d0.69","4"
"d0.70","4"
"d0.71","4"
"d0.72","4"
"d0.73","4"
"d0.74","4"
"d0.75","4"
"d0.76","4"
"d0.77","4"
"d0.78","4"
"d0.79","4"
"d0.80","4"
"d0.81","4"
"d0.82","4"
"d0.83","4"
"d0.84","4"
"d0.85","4"
"d0.86","4"
"d0.87","4"
"d0.88","4"
"d0.89","4"
"d0.90","4"
"d0.91","4"
"d0.92","4"
"d0.93","4"
"d0.94","4"
"d0.95","4"
"d0.96","4"
"d0.97","4"
"d0.98","4"
"d0.99","5"
"d0.100","4"
"d0.101","4"
"d0.102","4"
"d0.103","4"
"d0.104","4"
"d0.105","4"
"d0.106","4"
"d0.107","4"
"d0.108","4"
"d0.109","4"
"d0.110","4"
"d0.111","4"
"d0.112","4"
"d0.113","4"
"d0.114","4"
"d0.115","4"
"d0.116","4"
"d0.117","4"
"d0.118","4"
"d0.119","4"
"d0.120","4"
"d0.121","4"
"d0.122","4"
"d0.123","4"
"d0.124","4"
"d0.125","4"
"d0.126","4"
"d0.127","4"
"d0.128","4"
"d0.129","4"
"d0.130","4"
"d0.131","4"
"d0.132","4"
"d0.133","4"
"d0.134","4"
"d0.135","4"
"d0.136","4"
"d0.137","4"
"d0.138","4"
"d0.139","4"
"d0.140","4"
"d0.141","4"
"d0.142","4"
"d0.143","4"
"d0.144","4"
"d0.145","4"
"d0.146","4"
"d0.147","4"
"d0.148","4"
"d0.149","4"
"d0.150","4"
"d0.151","4"
"d0.152","4"
"d0.153","4"
"d0.154","4"
"d0.155","4"
"d0.156","4"
"d0.157","4"
"d0.158","4"
"d0.159","4"
"d0.160","4"
"d0.161","4"
"d0.162","4"
"d0.163","4"
"d0.164","4"
"d0.165","4"
"d0.166","4"
"d0.167","4"
"d0.168","4"
"d0.169","4"
"d0.170","4"
"d0.171","4"
"d0.172","4"
"d0.173","4"
"d0.174","4"
"d0.175","4"
"d0.176","4"
"d0.177","4"
"d0.178","4"
"d0.179","4"
"d0.180","4"
"d0.181","4"
"d0.182","4"
"d0.183","4"
"d0.184","4"
"d0.185","4"
"d0.186","4"
"d0.187","4"
"d0.188","4"
"d0.189","4"
"d0.190","4"
"d0.191","4"
"d0.192","4"
"d0.193","4"
"d0.194","4"
"d0.195","4"
"d0.196","4"
"d0.197","4"
"d0.198","4"
