"","x"
"X2i","3"
"X2i.1","3"
"X2i.2","3"
"X2i.3","3"
"X2i.4","3"
"X2i.5","3"
"X2i.6","3"
"X2i.7","3"
"X2i.8","3"
"X2i.9","3"
"X2i.10","3"
"X2i.11","3"
"X2i.12","3"
"X2i.13","3"
"X2i.14","3"
"X2i.15","3"
"X2i.16","3"
"X2i.17","3"
"X2i.18","3"
"X2i.19","3"
"X2i.20","1"
"X2i.21","3"
"X2i.22","3"
"X2i.23","3"
"X2i.24","3"
"X2i.25","3"
"X2i.26","3"
"X2i.27","3"
"X2i.28","3"
"X2i.29","3"
"X2i.30","3"
"X2i.31","1"
"X2i.32","3"
"X2i.33","3"
"X2i.34","3"
"X2i.35","3"
"X2i.36","3"
"X2i.37","3"
"X2i.38","3"
"X2i.39","3"
"X2i.40","3"
"X2i.41","3"
"X2i.42","3"
"X2i.43","3"
"X2i.44","3"
"X2i.45","3"
"X2i.46","3"
"X2i.47","3"
"X2i.48","3"
"X2i.49","3"
"X2i.50","3"
"X2i.51","3"
"X2i.52","3"
"X2i.53","3"
"X2i.54","3"
"X2i.55","3"
"X2i.56","3"
"X2i.57","3"
"X2i.58","3"
"X2i.59","3"
"X2i.60","3"
"X2i.61","3"
"X2i.62","3"
"X2i.63","3"
"X2i.64","3"
"X2i.65","3"
"X2i.66","1"
"X2i.67","3"
"X2i.68","3"
"X2i.69","3"
"X2i.70","3"
"X2i.71","3"
"X2i.72","3"
"X2i.73","3"
"X2i.74","3"
"X2i.75","3"
"X2i.76","3"
"X2i.77","3"
"X2i.78","2"
"X2i.79","3"
"X2i.80","3"
"X2i.81","3"
"X2i.82","5"
"X2i.83","5"
"X2i.84","5"
"X2i.85","5"
"X2i.86","5"
"X2i.87","5"
"X2i.88","5"
"X2i.89","5"
"X2i.90","5"
"X2i.91","5"
"X2i.92","5"
"X2i.93","5"
"X2i.94","5"
"X2i.95","5"
"X2i.96","5"
"X2i.97","5"
"X2i.98","5"
"X2i.99","5"
"X2i.100","5"
"X2i.101","5"
"X2i.102","5"
"X2i.103","5"
"X2i.104","5"
"X2i.105","5"
"X2i.106","5"
"X2i.107","5"
"X2i.108","5"
"X2i.109","5"
"X2i.110","5"
"X2i.111","5"
"X2i.112","5"
"X2i.113","5"
"X2i.114","5"
"X2i.115","5"
"X2i.116","5"
"X2i.117","5"
"X2i.118","5"
"X2i.119","5"
"X2i.120","5"
"X2i.121","5"
"X2i.122","5"
"X2i.123","5"
"X2i.124","5"
"X2i.125","5"
"X2i.126","5"
"X2i.127","5"
"X2i.128","5"
"X2i.129","5"
"X2i.130","5"
"X2i.131","5"
"X2i.132","5"
"X2i.133","5"
"X2i.134","5"
"X2i.135","5"
"X2i.136","5"
"X2i.137","5"
"X2i.138","5"
"X2i.139","5"
"X2i.140","5"
"X2i.141","1"
"X2i.142","1"
"X2i.143","1"
"X2i.144","1"
"X2i.145","1"
"X2i.146","1"
"X2i.147","1"
"X2i.148","1"
"X2i.149","1"
"X2i.150","1"
"X2i.151","1"
"X2i.152","1"
"X2i.153","1"
"X2i.154","1"
"X2i.155","1"
"X2i.156","1"
"X2i.157","1"
"X2i.158","1"
"X2i.159","1"
"X2i.160","1"
"X2i.161","1"
"X2i.162","1"
"X2i.163","1"
"X2i.164","1"
"X2i.165","1"
"X2i.166","1"
"X2i.167","1"
"X2i.168","1"
"X2i.169","1"
"X2i.170","1"
"X2i.171","1"
"X2i.172","1"
"X2i.173","1"
"X2i.174","1"
"X2i.175","1"
"X2i.176","1"
"X2i.177","1"
"X2i.178","1"
"X2i.179","1"
"X2i.180","1"
"X2i.181","1"
"X2i.182","1"
"X2i.183","1"
"X2i.184","1"
"X2i.185","1"
"X2i.186","1"
"X2i.187","1"
"X2i.188","1"
"X2i.189","1"
"X2i.190","1"
"X2i.191","5"
"X2i.192","1"
"X2i.193","1"
"X2i.194","1"
"X2i.195","1"
"X2i.196","1"
"X2i.197","1"
"X2i.198","1"
"X2i.199","1"
"X2i.200","1"
"X2i.201","1"
"X2i.202","1"
"X2i.203","1"
"X2i.204","1"
"X2i.205","1"
"X2i.206","1"
"X2i.207","1"
"X2i.208","1"
"X2i.209","1"
"X2i.210","1"
"X2i.211","1"
"X2i.212","1"
"X2i.213","1"
"X2i.214","1"
"X2i.215","1"
"X2i.216","1"
"X2i.217","1"
"X2i.218","1"
"X2i.219","1"
"X2i.220","3"
"X2i.221","1"
"X2i.222","1"
"X2i.223","1"
"X2i.224","1"
"X2i.225","1"
"X2i.226","1"
"X2i.227","1"
"X2i.228","1"
"X2i.229","1"
"X2i.230","1"
"X2i.231","1"
"X2i.232","1"
"X2i.233","1"
"X2i.234","1"
"X2i.235","1"
"X2i.236","1"
"X2i.237","1"
"X2i.238","1"
"X2i.239","1"
"X2i.240","1"
"X2i.241","1"
"X2i.242","1"
"X2i.243","1"
"X2i.244","1"
"X2i.245","1"
"X2i.246","1"
"X2i.247","1"
"X2i.248","1"
"X2i.249","1"
"X2i.250","1"
"X2i.251","1"
"X2i.252","1"
"X2i.253","1"
"X2i.254","1"
"X2i.255","5"
"X2i.256","1"
"X2i.257","1"
"X2i.258","1"
"X2i.259","1"
"X2i.260","1"
"X2i.261","1"
"X2i.262","1"
"X2i.263","1"
"X2i.264","1"
"X2i.265","1"
"X2i.266","1"
"X2i.267","1"
"X2i.268","5"
"X2i.269","1"
"X2i.270","1"
"X2i.271","1"
"X2i.272","1"
"X2i.273","1"
"X2i.274","1"
"X2i.275","1"
"X2i.276","1"
"X2i.277","1"
"X2i.278","1"
"X2i.279","1"
"X2i.280","1"
"X2i.281","1"
"X2i.282","1"
"X2i.283","1"
"X2i.284","1"
"X2i.285","1"
"X2i.286","1"
"X2i.287","1"
"X2i.288","1"
"X2i.289","1"
"X2i.290","1"
"X2i.291","1"
"X2i.292","1"
"X2i.293","1"
"X2i.294","1"
"a2i","2"
"a2i.1","2"
"a2i.2","2"
"a2i.3","2"
"a2i.4","2"
"a2i.5","2"
"a2i.6","2"
"a2i.7","2"
"a2i.8","2"
"a2i.9","2"
"a2i.10","2"
"a2i.11","2"
"a2i.12","2"
"a2i.13","2"
"a2i.14","2"
"a2i.15","2"
"a2i.16","2"
"a2i.17","2"
"a2i.18","2"
"a2i.19","2"
"a2i.20","2"
"a2i.21","2"
"a2i.22","2"
"a2i.23","2"
"a2i.24","2"
"a2i.25","2"
"a2i.26","2"
"a2i.27","2"
"a2i.28","2"
"a2i.29","2"
"a2i.30","2"
"a2i.31","2"
"a2i.32","2"
"a2i.33","2"
"a2i.34","2"
"a2i.35","2"
"a2i.36","2"
"a2i.37","2"
"a2i.38","2"
"a2i.39","2"
"a2i.40","2"
"a2i.41","2"
"a2i.42","2"
"a2i.43","2"
"a2i.44","2"
"a2i.45","2"
"a2i.46","2"
"a2i.47","2"
"a2i.48","2"
"a2i.49","2"
"a2i.50","2"
"a2i.51","2"
"a2i.52","2"
"a2i.53","2"
"a2i.54","2"
"a2i.55","2"
"a2i.56","2"
"a2i.57","2"
"a2i.58","2"
"a2i.59","2"
"a2i.60","2"
"a2i.61","2"
"a2i.62","2"
"a2i.63","2"
"a2i.64","2"
"a2i.65","2"
"a2i.66","2"
"a2i.67","2"
"a2i.68","2"
"a2i.69","2"
