"","x"
"X2338","7"
"X2338.1","7"
"X2338.2","7"
"X2338.3","7"
"X2338.4","7"
"X2338.5","7"
"X2338.6","7"
"X2338.7","7"
"X2338.8","7"
"X2338.9","7"
"X2338.10","7"
"X2338.11","7"
"X2338.12","7"
"X2338.13","7"
"X2338.14","7"
"X2338.15","7"
"X2338.16","7"
"X2338.17","7"
"X2338.18","7"
"X2338.19","7"
"X2338.20","7"
"X2338.21","7"
"X2339","8"
"X2339.1","8"
"X2339.2","8"
"X2339.3","8"
"X2339.4","8"
"X2339.5","8"
"X2339.6","8"
"X2339.7","8"
"X2339.8","8"
"X2339.9","8"
"X2339.10","8"
"X2339.11","8"
"X2339.12","8"
"X2339.13","8"
"X2339.14","8"
"X2339.15","8"
"X2339.16","8"
"K562","1"
"K562.1","1"
"K562.2","1"
"K562.3","1"
"K562.4","1"
"K562.5","1"
"K562.6","1"
"K562.7","1"
"K562.8","1"
"K562.9","1"
"K562.10","1"
"BJ","3"
"BJ.1","3"
"BJ.2","3"
"BJ.3","3"
"BJ.4","3"
"BJ.5","3"
"BJ.6","3"
"BJ.7","3"
"BJ.8","3"
"BJ.9","3"
"BJ.10","3"
"BJ.11","3"
"BJ.12","3"
"BJ.13","3"
"BJ.14","3"
"BJ.15","3"
"BJ.16","3"
"BJ.17","3"
"BJ.18","3"
"BJ.19","3"
"BJ.20","3"
"BJ.21","3"
"BJ.22","3"
"BJ.23","3"
"BJ.24","3"
"BJ.25","3"
"BJ.26","3"
"BJ.27","3"
"BJ.28","3"
"BJ.29","3"
"BJ.30","3"
"BJ.31","3"
"BJ.32","3"
"BJ.33","3"
"BJ.34","3"
"BJ.35","3"
"BJ.36","3"
"K562.11","1"
"K562.12","1"
"K562.13","1"
"K562.14","1"
"K562.15","1"
"K562.16","1"
"K562.17","1"
"K562.18","1"
"K562.19","1"
"K562.20","1"
"K562.21","1"
"K562.22","1"
"K562.23","1"
"K562.24","1"
"K562.25","1"
"K562.26","1"
"K562.27","1"
"K562.28","1"
"K562.29","1"
"K562.30","1"
"K562.31","1"
"K562.32","1"
"K562.33","1"
"K562.34","1"
"K562.35","1"
"K562.36","1"
"K562.37","1"
"K562.38","1"
"K562.39","1"
"K562.40","1"
"K562.41","1"
"HL60","0"
"HL60.1","0"
"HL60.2","0"
"HL60.3","0"
"HL60.4","0"
"HL60.5","0"
"HL60.6","0"
"HL60.7","0"
"HL60.8","0"
"HL60.9","0"
"HL60.10","0"
"HL60.11","0"
"HL60.12","0"
"HL60.13","0"
"HL60.14","0"
"HL60.15","0"
"HL60.16","0"
"HL60.17","0"
"HL60.18","0"
"HL60.19","0"
"HL60.20","0"
"HL60.21","0"
"HL60.22","0"
"HL60.23","0"
"HL60.24","0"
"HL60.25","0"
"HL60.26","0"
"HL60.27","0"
"HL60.28","0"
"HL60.29","0"
"HL60.30","0"
"HL60.31","0"
"HL60.32","0"
"HL60.33","0"
"HL60.34","0"
"HL60.35","0"
"HL60.36","0"
"HL60.37","0"
"HL60.38","0"
"HL60.39","0"
"HL60.40","0"
"HL60.41","0"
"HL60.42","0"
"HL60.43","0"
"HL60.44","0"
"HL60.45","0"
"HL60.46","0"
"HL60.47","0"
"HL60.48","0"
"HL60.49","0"
"HL60.50","0"
"HL60.51","0"
"HL60.52","0"
"HL60.53","0"
"iPS","6"
"iPS.1","6"
"iPS.2","6"
"iPS.3","6"
"iPS.4","6"
"iPS.5","6"
"iPS.6","6"
"iPS.7","6"
"iPS.8","6"
"iPS.9","6"
"iPS.10","6"
"iPS.11","6"
"iPS.12","6"
"iPS.13","6"
"iPS.14","6"
"iPS.15","6"
"iPS.16","6"
"iPS.17","6"
"iPS.18","6"
"iPS.19","6"
"iPS.20","6"
"iPS.21","6"
"iPS.22","6"
"iPS.23","6"
"Kera","2"
"Kera.1","2"
"Kera.2","2"
"Kera.3","2"
"Kera.4","2"
"Kera.5","2"
"Kera.6","2"
"Kera.7","2"
"Kera.8","2"
"Kera.9","2"
"Kera.10","2"
"Kera.11","2"
"Kera.12","2"
"Kera.13","2"
"Kera.14","2"
"Kera.15","2"
"Kera.16","2"
"Kera.17","2"
"Kera.18","2"
"Kera.19","2"
"Kera.20","2"
"Kera.21","2"
"Kera.22","2"
"Kera.23","2"
"Kera.24","2"
"Kera.25","2"
"Kera.26","2"
"Kera.27","2"
"Kera.28","2"
"Kera.29","2"
"Kera.30","2"
"Kera.31","2"
"Kera.32","2"
"Kera.33","2"
"Kera.34","2"
"Kera.35","2"
"Kera.36","2"
"Kera.37","2"
"Kera.38","2"
"Kera.39","2"
"GW21.2","4"
"GW21.2.1","5"
"GW21.2.2","4"
"GW21.2.3","5"
"GW21.2.4","4"
"GW21.2.5","4"
"GW21.2.6","4"
"GW21.2.7","4"
"GW21.2.8","4"
"GW21.2.9","4"
"GW21.2.10","4"
"GW21.2.11","4"
"GW21.2.12","4"
"GW21.2.13","4"
"GW21.2.14","4"
"GW21.2.15","4"
"GW21","4"
