"","x"
"RHA","3"
"RHA.1","3"
"RHA.2","3"
"RHA.3","3"
"RHA.4","3"
"RHA.5","3"
"RHA.6","3"
"RHA.7","3"
"RHA.8","3"
"RHA.9","3"
"RHA.10","3"
"RHA.11","3"
"RHA.12","3"
"RHA.13","3"
"RHA.14","3"
"RHA.15","3"
"RHA.16","3"
"RHA.17","3"
"RHA.18","3"
"RHA.19","3"
"RHA.20","3"
"RHA.21","3"
"RHA.22","3"
"RHA.23","3"
"RHA.24","3"
"RHA.25","3"
"RHA.26","3"
"RHA.27","3"
"RHA.28","3"
"RHA.29","3"
"RHA.30","3"
"RHA.31","3"
"RHA.32","3"
"RHA.33","3"
"RHA.34","3"
"RHA.35","3"
"RHA.36","3"
"RHA.37","3"
"RHA.38","3"
"RHA.39","3"
"RHA.40","3"
"RHA.41","3"
"RHA.42","3"
"RHA.43","3"
"RHA.44","3"
"RHA.45","3"
"RHA.46","3"
"RHA.47","3"
"RHA.48","3"
"RHA.49","3"
"RHA.50","3"
"RHA.51","3"
"RHA.52","3"
"RHA.53","3"
"RHA.54","3"
"RHA.55","3"
"RHA.56","3"
"RHA.57","3"
"RHA.58","3"
"RHA.59","3"
"RHA.60","3"
"RHA.61","3"
"RHA.62","3"
"RHA.63","3"
"RHA.64","3"
"RHA.65","3"
"RHA.66","3"
"RHA.67","3"
"RHA.68","3"
"RHA.69","3"
"RHA.70","3"
"RHA.71","3"
"RHA.72","3"
"RHA.73","3"
"RHB","2"
"RHB.1","2"
"RHB.2","7"
"RHB.3","7"
"RHB.4","7"
"RHB.5","7"
"RHB.6","7"
"RHB.7","1"
"RHB.8","7"
"RHB.9","7"
"RHB.10","7"
"RHB.11","7"
"RHB.12","7"
"RHB.13","7"
"RHB.14","5"
"RHB.15","7"
"RHB.16","2"
"RHB.17","7"
"RHB.18","2"
"RHB.19","7"
"RHB.20","7"
"RHB.21","7"
"RHB.22","7"
"RHB.23","7"
"RHB.24","1"
"RHB.25","5"
"RHB.26","7"
"RHB.27","7"
