"","x"
"MEF","2"
"MEF.1","2"
"MEF.2","2"
"MEF.3","2"
"MEF.4","2"
"MEF.5","2"
"MEF.6","2"
"MEF.7","2"
"MEF.8","2"
"MEF.9","2"
"MEF.10","2"
"MEF.11","2"
"CTC.c","0"
"CTC.c.1","0"
"CTC.c.2","0"
"CTC.c.3","0"
"CTC.c.4","3"
"CTC.c.5","0"
"CTC.c.6","0"
"CTC.c.7","0"
"CTC.c.8","0"
"CTC.c.9","3"
"CTC.c.10","0"
"CTC.c.11","2"
"CTC.c.12","0"
"CTC.pro","3"
"CTC.pro.1","3"
"CTC.pro.2","3"
"CTC.pro.3","3"
"CTC.pro.4","3"
"CTC.pro.5","4"
"CTC.pro.6","3"
"CTC.pro.7","3"
"CTC.plt","4"
"CTC.plt.1","4"
"CTC.plt.2","3"
"CTC.plt.3","3"
"CTC.plt.4","4"
"CTC.plt.5","4"
"CTC.c.13","0"
"CTC.plt.6","3"
"CTC.plt.7","3"
"CTC.plt.8","4"
"CTC.plt.9","3"
"CTC.plt.10","4"
"CTC.plt.11","4"
"CTC.plt.12","4"
"CTC.plt.13","4"
"CTC.plt.14","4"
"CTC.plt.15","4"
"CTC.c.14","0"
"CTC.c.15","0"
"CTC.c.16","0"
"CTC.plt.16","4"
"CTC.c.17","0"
"CTC.pro.8","3"
"CTC.plt.17","4"
"CTC.plt.18","4"
"CTC.pro.9","3"
"CTC.plt.19","4"
"CTC.plt.20","4"
"CTC.plt.21","4"
"CTC.c.18","0"
"CTC.plt.22","4"
"CTC.plt.23","4"
"CTC.c.19","0"
"CTC.c.20","0"
"CTC.c.21","0"
"CTC.c.22","0"
"CTC.c.23","0"
"CTC.c.24","0"
"CTC.c.25","0"
"CTC.c.26","0"
"CTC.c.27","0"
"CTC.c.28","0"
"CTC.c.29","0"
"CTC.c.30","0"
"CTC.c.31","0"
"CTC.c.32","0"
"CTC.c.33","0"
"CTC.c.34","0"
"CTC.c.35","0"
"CTC.c.36","0"
"CTC.c.37","0"
"CTC.c.38","0"
"CTC.c.39","0"
"CTC.c.40","0"
"nb508","2"
"nb508.1","2"
"nb508.2","2"
"nb508.3","2"
"nb508.4","2"
"nb508.5","2"
"nb508.6","2"
"nb508.7","2"
"nb508.8","2"
"nb508.9","2"
"nb508.10","2"
"nb508.11","2"
"nb508.12","2"
"nb508.13","2"
"nb508.14","2"
"nb508.15","2"
"TuMP","1"
"TuMP.1","1"
"TuMP.2","1"
"TuMP.3","1"
"TuMP.4","1"
"TuMP.5","1"
"TuMP.6","1"
"TuMP.7","1"
"TuMP.8","1"
"TuMP.9","1"
"TuMP.10","1"
"TuMP.11","1"
"TuMP.12","1"
"TuMP.13","1"
"TuMP.14","1"
"TuMP.15","1"
"TuMP.16","1"
"TuMP.17","1"
"TuMP.18","1"
"TuMP.19","1"
"TuMP.20","1"
"TuMP.21","1"
"TuMP.22","1"
"TuMP.23","1"
"TuMP.24","1"
"TuMP.25","1"
"TuMP.26","1"
"TuMP.27","1"
"TuMP.28","1"
"TuMP.29","1"
"TuMP.30","1"
"TuMP.31","1"
"TuMP.32","1"
"TuMP.33","1"
"WBC","3"
"WBC.1","3"
"WBC.2","3"
"WBC.3","3"
"WBC.4","3"
"WBC.5","3"
"WBC.6","3"
"WBC.7","3"
"WBC.8","3"
"WBC.9","3"
"WBC.10","3"
"WBC.11","3"
