"","x"
"AT1","1"
"BP","2"
"AT2","0"
"AT1.1","2"
"AT1.2","1"
"BP.1","0"
"AT1.3","2"
"AT1.4","1"
"AT1.5","1"
"BP.2","0"
"AT1.6","2"
"BP.3","0"
"BP.4","1"
"AT1.7","1"
"AT1.8","2"
"AT1.9","2"
"AT1.10","2"
"BP.5","1"
"AT1.11","2"
"AT1.12","1"
"AT1.13","1"
"AT1.14","1"
"AT1.15","1"
"AT1.16","1"
"AT1.17","1"
"AT2.1","0"
"AT1.18","1"
"AT1.19","2"
"Clara","0"
"AT2.2","1"
"BP.6","0"
"AT1.20","1"
"AT1.21","2"
"AT1.22","1"
"AT1.23","2"
"BP.7","0"
"Clara.1","0"
"AT2.3","0"
"AT2.4","0"
"AT1.24","2"
"BP.8","0"
"Clara.2","0"
"AT1.25","2"
"Clara.3","0"
"AT2.5","0"
"AT1.26","1"
"ciliated","0"
"AT1.27","2"
"AT1.28","2"
"AT1.29","2"
"ciliated.1","0"
"BP.9","0"
"AT1.30","2"
"AT1.31","1"
"AT1.32","1"
"ciliated.2","2"
"BP.10","0"
"Clara.4","0"
"AT1.33","2"
"AT2.6","0"
"AT2.7","0"
"BP.11","0"
"AT2.8","0"
"AT2.9","0"
"Clara.5","0"
"Clara.6","0"
"BP.12","0"
"AT1.34","1"
"AT1.35","2"
"AT1.36","1"
"AT2.10","0"
"AT2.11","0"
"Clara.7","0"
"Clara.8","0"
"AT1.37","1"
"Clara.9","0"
"AT1.38","1"
"Clara.10","1"
"AT1.39","1"
"AT1.40","1"
