"","x"
"NF","6"
"NF.1","1"
"NF.2","6"
"NF.3","6"
"NF.4","1"
"NF.5","1"
"NF.6","1"
"NF.7","1"
"NF.8","1"
"NF.9","6"
"NF.10","1"
"NF.11","6"
"NF.12","6"
"NF.13","6"
"NF.14","1"
"NF.15","1"
"NF.16","1"
"NF.17","1"
"NF.18","1"
"NF.19","1"
"NF.20","1"
"NF.21","1"
"NF.22","1"
"NF.23","1"
"NF.24","1"
"NF.25","6"
"NF.26","6"
"NF.27","6"
"NF.28","1"
"NF.29","1"
"NF.30","1"
"NF.31","1"
"NF.32","1"
"NF.33","1"
"NF.34","6"
"NF.35","1"
"NF.36","6"
"NF.37","6"
"NF.38","1"
"NF.39","1"
"NF.40","1"
"NF.41","6"
"NF.42","1"
"NF.43","1"
"NF.44","1"
"NF.45","1"
"NF.46","1"
"NF.47","6"
"NF.48","1"
"NF.49","1"
"NF.50","6"
"NF.51","1"
"NF.52","1"
"NF.53","1"
"NF.54","6"
"NF.55","6"
"NF.56","6"
"NF.57","6"
"NF.58","1"
"NF.59","6"
"NF.60","6"
"NF.61","1"
"NF.62","6"
"NF.63","6"
"NF.64","6"
"NF.65","6"
"NF.66","1"
"NF.67","1"
"NF.68","1"
"NF.69","6"
"NF.70","6"
"NF.71","6"
"NF.72","1"
"NF.73","1"
"NF.74","1"
"NF.75","6"
"NF.76","1"
"NF.77","6"
"NF.78","1"
"NF.79","1"
"NF.80","1"
"NF.81","6"
"NF.82","1"
"NF.83","6"
"NF.84","6"
"NF.85","1"
"NF.86","1"
"NF.87","1"
"NF.88","1"
"NF.89","1"
"NF.90","6"
"NF.91","1"
"NF.92","6"
"NF.93","6"
"NF.94","6"
"NF.95","6"
"NF.96","1"
"NF.97","6"
"NF.98","6"
"NF.99","1"
"NF.100","1"
"NF.101","1"
"NF.102","1"
"NF.103","1"
"NF.104","6"
"NF.105","1"
"NF.106","1"
"NF.107","1"
"NF.108","1"
"NF.109","1"
"NF.110","1"
"NF.111","1"
"NF.112","1"
"NF.113","1"
"NF.114","1"
"NF.115","1"
"NF.116","1"
"NF.117","6"
"NF.118","1"
"NF.119","6"
"NF.120","0"
"NF.121","6"
"NF.122","1"
"NF.123","1"
"NF.124","1"
"NF.125","6"
"NF.126","1"
"NF.127","1"
"NF.128","6"
"NF.129","6"
"NF.130","1"
"NF.131","1"
"NF.132","6"
"NF.133","1"
"NF.134","6"
"NF.135","1"
"NF.136","1"
"NF.137","1"
"NF.138","1"
"NP","8"
"NP.1","4"
"NP.2","8"
"NP.3","8"
"NP.4","8"
"NP.5","8"
"NP.6","8"
"NP.7","8"
"NP.8","8"
"NP.9","8"
"NP.10","8"
"NP.11","2"
"NP.12","8"
"NP.13","8"
"NP.14","4"
"NP.15","8"
"NP.16","8"
"NP.17","8"
"NP.18","4"
"NP.19","8"
"NP.20","8"
"NP.21","4"
"NP.22","8"
"NP.23","8"
"NP.24","8"
"NP.25","8"
"NP.26","8"
"NP.27","8"
"NP.28","8"
"NP.29","4"
"NP.30","8"
"NP.31","8"
"NP.32","8"
"NP.33","4"
"NP.34","2"
"NP.35","4"
"NP.36","4"
"NP.37","4"
"NP.38","4"
"NP.39","4"
"NP.40","4"
"NP.41","4"
"NP.42","4"
"NP.43","4"
"NP.44","4"
"NP.45","4"
"NP.46","4"
"NP.47","4"
"NP.48","4"
"NP.49","4"
"NP.50","4"
"NP.51","8"
"NP.52","4"
"NP.53","4"
"NP.54","4"
"NP.55","4"
"NP.56","4"
"NP.57","4"
"NP.58","4"
"NP.59","4"
"NP.60","4"
"NP.61","4"
"NP.62","4"
"NP.63","4"
"NP.64","4"
"NP.65","4"
"NP.66","4"
"NP.67","4"
"NP.68","4"
"NP.69","4"
"NP.70","4"
"NP.71","4"
"NP.72","8"
"NP.73","8"
"NP.74","4"
"NP.75","4"
"NP.76","4"
"NP.77","2"
"NP.78","2"
"NP.79","2"
"NP.80","4"
"NP.81","2"
"NP.82","2"
"NP.83","8"
"NP.84","2"
"NP.85","2"
"NP.86","4"
"NP.87","2"
"NP.88","2"
"NP.89","2"
"NP.90","4"
"NP.91","4"
"NP.92","4"
"NP.93","2"
"NP.94","4"
"NP.95","4"
"NP.96","2"
"NP.97","2"
"NP.98","2"
"NP.99","2"
"NP.100","2"
"NP.101","2"
"NP.102","2"
"NP.103","4"
"NP.104","2"
"NP.105","2"
"NP.106","4"
"NP.107","4"
"NP.108","2"
"NP.109","2"
"NP.110","2"
"NP.111","2"
"NP.112","2"
"NP.113","2"
"NP.114","2"
"NP.115","2"
"NP.116","2"
"NP.117","2"
"NP.118","2"
"NP.119","2"
"NP.120","2"
"NP.121","2"
"NP.122","2"
"NP.123","2"
"NP.124","2"
"NP.125","2"
"NP.126","2"
"NP.127","2"
"NP.128","2"
"NP.129","2"
"NP.130","2"
"NP.131","2"
"NP.132","2"
"NP.133","2"
"NP.134","2"
"NP.135","2"
"NP.136","2"
"NP.137","2"
"NP.138","2"
"NP.139","2"
"NP.140","2"
"NP.141","2"
"NP.142","2"
"NP.143","2"
"NP.144","2"
"NP.145","0"
"NP.146","2"
"NP.147","2"
"NP.148","0"
"NP.149","2"
"NP.150","4"
"NP.151","0"
"NP.152","2"
"NP.153","2"
"NP.154","2"
"NP.155","4"
"NP.156","2"
"NP.157","2"
"NP.158","2"
"NP.159","2"
"NP.160","2"
"NP.161","2"
"NP.162","2"
"NP.163","2"
"NP.164","2"
"NP.165","2"
"NP.166","2"
"NP.167","4"
"NP.168","2"
"PEP","5"
"PEP.1","5"
"PEP.2","5"
"PEP.3","1"
"PEP.4","5"
"PEP.5","1"
"PEP.6","5"
"PEP.7","5"
"PEP.8","5"
"PEP.9","5"
"PEP.10","5"
"PEP.11","1"
"PEP.12","5"
"PEP.13","5"
"PEP.14","5"
"PEP.15","5"
"PEP.16","5"
"PEP.17","5"
"PEP.18","5"
"PEP.19","5"
"PEP.20","5"
"PEP.21","5"
"PEP.22","5"
"PEP.23","5"
"PEP.24","1"
"PEP.25","5"
"PEP.26","5"
"PEP.27","5"
"PEP.28","1"
"PEP.29","1"
"PEP.30","5"
"PEP.31","5"
"PEP.32","5"
"PEP.33","1"
"PEP.34","3"
"PEP.35","5"
"PEP.36","5"
"PEP.37","5"
"PEP.38","1"
"PEP.39","5"
"PEP.40","5"
"PEP.41","5"
"PEP.42","1"
"PEP.43","5"
"PEP.44","5"
"PEP.45","5"
"PEP.46","5"
"PEP.47","5"
"PEP.48","5"
"PEP.49","5"
"PEP.50","5"
"PEP.51","5"
"PEP.52","5"
"PEP.53","5"
"PEP.54","1"
"PEP.55","2"
"PEP.56","5"
"PEP.57","0"
"PEP.58","5"
"PEP.59","5"
"PEP.60","5"
"PEP.61","5"
"PEP.62","5"
"PEP.63","0"
"PEP.64","5"
"PEP.65","5"
"PEP.66","2"
"PEP.67","1"
"PEP.68","1"
"PEP.69","5"
"PEP.70","5"
"PEP.71","5"
"PEP.72","4"
"PEP.73","1"
"PEP.74","0"
"PEP.75","5"
"PEP.76","5"
"PEP.77","5"
"PEP.78","1"
"PEP.79","5"
"PEP.80","1"
"TH","9"
"TH.1","9"
"TH.2","9"
"TH.3","9"
"TH.4","9"
"TH.5","9"
"TH.6","9"
"TH.7","9"
"TH.8","9"
