"","x"
"Oocyte","2"
"Oocyte.1","2"
"Oocyte.2","2"
"Zygote","2"
"Zygote.1","2"
"Zygote.2","2"
"X2.cell.embryo","2"
"X2.cell.embryo.1","2"
"X2.cell.embryo.2","2"
"X2.cell.embryo.3","2"
"X2.cell.embryo.4","2"
"X2.cell.embryo.5","2"
"X4.cell.embryo","2"
"X4.cell.embryo.1","2"
"X4.cell.embryo.2","2"
"X4.cell.embryo.3","2"
"X4.cell.embryo.4","2"
"X4.cell.embryo.5","2"
"X4.cell.embryo.6","2"
"X4.cell.embryo.7","2"
"X4.cell.embryo.8","2"
"X4.cell.embryo.9","2"
"X4.cell.embryo.10","2"
"X4.cell.embryo.11","2"
"X8.cell.embryo","0"
"X8.cell.embryo.1","0"
"X8.cell.embryo.2","0"
"X8.cell.embryo.3","0"
"X8.cell.embryo.4","0"
"X8.cell.embryo.5","0"
"X8.cell.embryo.6","0"
"X8.cell.embryo.7","0"
"X8.cell.embryo.8","0"
"X8.cell.embryo.9","0"
"X8.cell.embryo.10","0"
"X8.cell.embryo.11","0"
"X8.cell.embryo.12","0"
"X8.cell.embryo.13","0"
"X8.cell.embryo.14","0"
"X8.cell.embryo.15","0"
"X8.cell.embryo.16","0"
"X8.cell.embryo.17","0"
"X8.cell.embryo.18","0"
"X8.cell.embryo.19","0"
"Morulae","0"
"Morulae.1","0"
"Morulae.2","0"
"Morulae.3","0"
"Morulae.4","0"
"Morulae.5","0"
"Morulae.6","0"
"Morulae.7","0"
"Morulae.8","0"
"Morulae.9","0"
"Morulae.10","0"
"Morulae.11","0"
"Morulae.12","0"
"Morulae.13","0"
"Morulae.14","0"
"Morulae.15","0"
"Late.blastocyst","1"
"Late.blastocyst.1","1"
"Late.blastocyst.2","1"
"Late.blastocyst.3","1"
"Late.blastocyst.4","1"
"Late.blastocyst.5","1"
"Late.blastocyst.6","1"
"Late.blastocyst.7","1"
"Late.blastocyst.8","1"
"Late.blastocyst.9","1"
"Late.blastocyst.10","1"
"Late.blastocyst.11","1"
"Late.blastocyst.12","1"
"Late.blastocyst.13","1"
"Late.blastocyst.14","1"
"Late.blastocyst.15","1"
"Late.blastocyst.16","1"
"Late.blastocyst.17","1"
"Late.blastocyst.18","1"
"Late.blastocyst.19","1"
"Late.blastocyst.20","1"
"Late.blastocyst.21","1"
"Late.blastocyst.22","1"
"Late.blastocyst.23","1"
"Late.blastocyst.24","1"
"Late.blastocyst.25","1"
"Late.blastocyst.26","1"
"Late.blastocyst.27","1"
"Late.blastocyst.28","1"
"Late.blastocyst.29","1"
