"","x"
"Interneurons","4"
"Interneurons.1","4"
"Interneurons.2","4"
"Interneurons.3","4"
"Interneurons.4","4"
"Interneurons.5","4"
"Interneurons.6","4"
"Interneurons.7","4"
"Interneurons.8","4"
"Interneurons.9","4"
"Interneurons.10","4"
"Interneurons.11","4"
"Interneurons.12","4"
"Interneurons.13","4"
"Interneurons.14","4"
"Interneurons.15","4"
"Interneurons.16","4"
"Interneurons.17","4"
"Interneurons.18","4"
"Interneurons.19","4"
"Interneurons.20","4"
"Interneurons.21","4"
"Interneurons.22","4"
"Interneurons.23","4"
"Interneurons.24","2"
"Interneurons.25","4"
"Interneurons.26","4"
"Interneurons.27","4"
"Interneurons.28","4"
"Interneurons.29","4"
"Interneurons.30","4"
"Interneurons.31","4"
"Interneurons.32","4"
"Interneurons.33","4"
"Interneurons.34","4"
"Interneurons.35","4"
"Interneurons.36","4"
"Interneurons.37","4"
"Interneurons.38","4"
"Interneurons.39","4"
"Interneurons.40","4"
"Interneurons.41","4"
"Interneurons.42","4"
"Interneurons.43","4"
"Interneurons.44","4"
"Interneurons.45","4"
"Interneurons.46","4"
"Interneurons.47","4"
"Interneurons.48","4"
"Interneurons.49","4"
"Interneurons.50","4"
"Interneurons.51","4"
"Interneurons.52","4"
"Interneurons.53","4"
"Interneurons.54","4"
"Interneurons.55","4"
"Interneurons.56","4"
"Interneurons.57","4"
"Interneurons.58","4"
"Interneurons.59","4"
"Interneurons.60","4"
"Interneurons.61","4"
"Interneurons.62","4"
"Interneurons.63","4"
"Interneurons.64","4"
"Interneurons.65","4"
"Interneurons.66","4"
"Interneurons.67","4"
"Interneurons.68","4"
"Interneurons.69","4"
"Interneurons.70","4"
"Interneurons.71","4"
"Interneurons.72","4"
"Interneurons.73","4"
"Interneurons.74","4"
"Interneurons.75","4"
"Interneurons.76","4"
"Interneurons.77","4"
"Interneurons.78","4"
"Interneurons.79","4"
"Interneurons.80","4"
"Interneurons.81","4"
"Interneurons.82","4"
"Interneurons.83","4"
"Interneurons.84","4"
"Interneurons.85","4"
"Interneurons.86","4"
"Interneurons.87","4"
"Interneurons.88","4"
"Interneurons.89","4"
"Interneurons.90","4"
"Interneurons.91","4"
"Interneurons.92","4"
"Interneurons.93","4"
"Interneurons.94","4"
"Interneurons.95","4"
"Interneurons.96","4"
"Interneurons.97","4"
"Interneurons.98","4"
"Interneurons.99","5"
"Interneurons.100","4"
"Interneurons.101","4"
"Interneurons.102","4"
"Interneurons.103","4"
"Interneurons.104","2"
"Interneurons.105","4"
"Interneurons.106","4"
"Interneurons.107","9"
"Interneurons.108","4"
"Interneurons.109","4"
"Interneurons.110","4"
"Interneurons.111","4"
"Interneurons.112","4"
"Interneurons.113","2"
"Interneurons.114","4"
"Interneurons.115","4"
"Interneurons.116","4"
"Interneurons.117","4"
"Interneurons.118","0"
"Interneurons.119","4"
"Interneurons.120","4"
"Interneurons.121","4"
"Interneurons.122","4"
"Interneurons.123","4"
"Interneurons.124","4"
"Interneurons.125","4"
"Interneurons.126","2"
"Interneurons.127","4"
"Interneurons.128","4"
"Interneurons.129","5"
"Interneurons.130","4"
"Interneurons.131","4"
"Interneurons.132","4"
"Interneurons.133","2"
"Interneurons.134","4"
"Interneurons.135","4"
"Interneurons.136","4"
"Interneurons.137","4"
"Interneurons.138","4"
"Interneurons.139","4"
"Interneurons.140","4"
"Interneurons.141","4"
"Interneurons.142","0"
"Interneurons.143","4"
"Interneurons.144","4"
"Interneurons.145","4"
"Interneurons.146","4"
"Interneurons.147","4"
"Interneurons.148","4"
"Interneurons.149","4"
"Interneurons.150","4"
"Interneurons.151","4"
"Interneurons.152","4"
"Interneurons.153","4"
"Interneurons.154","4"
"Interneurons.155","4"
"Interneurons.156","4"
"Interneurons.157","4"
"Interneurons.158","4"
"Interneurons.159","4"
"Interneurons.160","4"
"Interneurons.161","4"
"Interneurons.162","4"
"Interneurons.163","4"
"Interneurons.164","4"
"Interneurons.165","4"
"Interneurons.166","4"
"Interneurons.167","4"
"Interneurons.168","4"
"Interneurons.169","4"
"Interneurons.170","4"
"Interneurons.171","4"
"Interneurons.172","4"
"Interneurons.173","4"
"Interneurons.174","4"
"Interneurons.175","4"
"Interneurons.176","4"
"Interneurons.177","4"
"Interneurons.178","4"
"Interneurons.179","4"
"Interneurons.180","4"
"Interneurons.181","4"
"Interneurons.182","4"
"Interneurons.183","4"
"Interneurons.184","4"
"Interneurons.185","4"
"Interneurons.186","4"
"Interneurons.187","3"
"Interneurons.188","4"
"Interneurons.189","4"
"Interneurons.190","4"
"Interneurons.191","4"
"Interneurons.192","4"
"Interneurons.193","0"
"Interneurons.194","4"
"Interneurons.195","4"
"Interneurons.196","0"
"Interneurons.197","4"
"Interneurons.198","4"
"Interneurons.199","4"
"Interneurons.200","4"
"Interneurons.201","4"
"Interneurons.202","4"
"Interneurons.203","4"
"Interneurons.204","4"
"Interneurons.205","4"
"Interneurons.206","4"
"Interneurons.207","4"
"Interneurons.208","4"
"Interneurons.209","4"
"Interneurons.210","4"
"Interneurons.211","4"
"Interneurons.212","4"
"Interneurons.213","4"
"Interneurons.214","4"
"Interneurons.215","0"
"Interneurons.216","4"
"Interneurons.217","3"
"Interneurons.218","4"
"Interneurons.219","4"
"Interneurons.220","4"
"Interneurons.221","4"
"Interneurons.222","4"
"Interneurons.223","4"
"Interneurons.224","4"
"Interneurons.225","4"
"Interneurons.226","4"
"Interneurons.227","4"
"Interneurons.228","4"
"Interneurons.229","4"
"Interneurons.230","4"
"Interneurons.231","5"
"Interneurons.232","4"
"Interneurons.233","4"
"Interneurons.234","4"
"Interneurons.235","4"
"Interneurons.236","4"
"Interneurons.237","2"
"Interneurons.238","2"
"Interneurons.239","4"
"Interneurons.240","4"
"Interneurons.241","4"
"Interneurons.242","4"
"Interneurons.243","4"
"Interneurons.244","4"
"Interneurons.245","4"
"Interneurons.246","4"
"Interneurons.247","7"
"Interneurons.248","4"
"Interneurons.249","0"
"Interneurons.250","4"
"Interneurons.251","4"
"Interneurons.252","4"
"Interneurons.253","4"
"Interneurons.254","2"
"Interneurons.255","4"
"Interneurons.256","4"
"Interneurons.257","4"
"Interneurons.258","0"
"Interneurons.259","4"
"Interneurons.260","4"
"Interneurons.261","4"
"Interneurons.262","4"
"Interneurons.263","4"
"Interneurons.264","4"
"Interneurons.265","4"
"Interneurons.266","4"
"Interneurons.267","4"
"Interneurons.268","4"
"Interneurons.269","4"
