geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene1,0.108411,2.031610,7.857470,0.000000,11.235168,5.027083,9.002851
gene2,0.386508,0.000000,0.000000,6.059391,0.000000,0.000000,0.132495
gene3,89.466660,96.190687,79.563013,217.315923,195.582198,211.609863,190.432895
gene4,2.115914,0.191556,0.161643,1.916628,0.000000,0.310249,0.000000
gene5,93.964526,41.331545,87.306536,76.114963,70.169361,47.217899,107.086298
gene6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene7,56.964984,11.746947,29.098165,34.284055,24.376551,56.003052,40.963696
gene8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene9,171.456845,128.505963,143.359116,126.319362,158.113332,142.070775,133.137988
gene10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene11,0.000000,0.000000,0.000000,0.000000,0.000000,0.617962,0.000000
gene12,0.000000,1.082905,0.000000,0.000000,0.000000,0.292348,0.000000
gene13,0.000000,0.000000,0.000000,0.000000,0.057062,0.000000,0.000000
gene14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene17,12.238571,1.902973,19.758421,21.945626,14.258380,0.536019,7.622336
gene18,0.056897,13.801972,0.049986,0.000000,0.046613,7.339427,0.000000
gene19,0.081185,0.000000,7.025309,2.680676,0.133021,7.631830,2.395139
gene20,0.000000,0.000000,0.000000,0.000000,0.059387,3.157646,0.000000
gene21,49.964067,63.329778,68.202025,75.449464,72.071248,169.793388,40.604056
gene22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene23,1.804447,0.362541,18.077507,33.636192,8.480728,6.512377,18.679124
gene24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene29,55.930570,22.853571,102.499995,58.865019,51.487129,51.465094,79.295242
gene30,0.000000,29.243127,105.756707,47.319894,13.149430,32.139187,4.384543
gene31,52.738307,159.611798,47.516216,84.520049,80.486845,156.810818,146.763639
gene32,0.047345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene33,12.073489,30.145940,4.877361,20.200746,17.060185,19.801562,29.406783
gene34,0.000000,0.066274,0.000000,0.150138,4.537147,0.000000,0.000000
gene35,28.321759,4.479781,22.402593,7.008346,0.520106,24.710729,4.457634
gene36,1.800568,4.488374,22.390902,14.112914,11.955083,2.715400,2.734075
gene37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene38,0.000000,0.000000,0.000000,17.160125,44.046067,0.000000,0.000000
gene39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene40,202.470804,159.132210,139.017550,95.167091,216.913246,157.562642,286.685663
gene41,0.000000,0.000000,0.000000,0.000000,0.000000,1.627037,0.000000
gene42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene43,0.000000,0.066467,0.000000,0.112931,0.156909,0.107652,0.418557
gene44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
